path_num,teo_path_dist,teo_path_Xdist,teo_path_Ydist,teo_path_time,avg_path_vel,energy
251,35.767747715544616,23.0,23.0,696,0.051390442120035365,25731710.992393002
252,29.864600522260307,23.0,15.0,671,0.044507601374456494,15529722.48134717
253,18.81379615571165,11.0,14.0,584,0.03221540437621858,27776799.50873381
254,31.063173570242974,26.0,14.0,633,0.04907294402881986,12776455.402055101
255,23.138956324288188,14.0,18.0,596,0.038823752221960044,14725524.646643069
256,26.21071226689886,14.0,20.0,630,0.04160430518555375,13693896.41403162
257,32.5959160410914,20.0,23.0,655,0.04976475731464336,21330743.96426998
258,45.50088486579276,29.0,33.0,672,0.0677096500979059,16193776.844793236
259,42.19276342709607,27.0,29.0,693,0.06088421850951813,18754590.330909792
260,20.531920886037483,14.0,13.0,620,0.03311600142909271,17338737.18468811
261,33.89291608772143,21.0,24.0,646,0.05246581437727776,10187631.033435227
262,33.36512419194356,27.0,17.0,618,0.05398887409699605,19033511.055321887
263,27.62312655486089,21.0,15.0,649,0.042562598697782575,13085974.456294551
264,30.38283390645362,22.0,20.0,622,0.04884699984960389,12562944.222350549
265,40.45554844670692,30.0,25.0,690,0.05863122963290858,10493920.576502522
266,35.37521826905798,18.0,28.0,600,0.05895869711509664,8489519.670134533
267,32.98244413806179,14.0,29.0,699,0.04718518474686951,13912364.248577094
268,36.17476222175055,18.0,30.0,609,0.05940026637397463,14397328.263210088
269,38.76053545236201,23.0,30.0,592,0.0654738774533142,10359388.970504133
270,29.62381895913351,19.0,20.0,686,0.04318340956141911,9201120.316186022
271,38.86128280841833,23.0,29.0,663,0.05861430287845902,9307305.761603033
272,27.05082145801842,23.0,14.0,696,0.038866122784509224,16064987.354346178
273,14.99460169804673,12.0,8.0,614,0.0244211754039849,8264377.233280653
274,24.68930123479666,15.0,17.0,664,0.037182682582525085,6716071.37101824
