path_num,teo_path_dist,teo_path_Xdist,teo_path_Ydist,teo_path_time,avg_path_vel
1,29.235572309902718,5,4,684,0.04274206478055953
2,26.65247584249853,-2,0,659,0.04044381766691734
3,27.123265553522565,2,-1,667,0.040664566047260216
4,24.77269903474535,2,1,648,0.038229473819051465
5,26.371630891611247,-2,0,653,0.040385345928960564
6,23.11312227978703,1,-1,680,0.03398988570556916
7,25.709378340165593,1,1,677,0.03797544806523721
8,29.863531684447914,-2,-1,656,0.04552367634824377
9,27.309330091990912,-1,-2,677,0.04033874459673695
10,25.374513324982086,1,2,663,0.03827226745849485
11,23.30344551311661,2,0,675,0.03452362298239498
12,21.950844619618653,0,0,668,0.032860545837752476
13,18.210904837709435,0,-2,678,0.02685974164853899
14,24.061772596780045,2,1,629,0.03825401048772662
15,26.087142373453904,-1,1,672,0.03882015234144926
16,25.07395024523632,0,-2,677,0.03703685412885719
17,32.67576453547305,1,0,688,0.04749384380155967
18,31.469413449533647,-2,0,671,0.04689927488753152
19,31.0937150830734,0,2,696,0.04467487799292155
20,31.4690829599119,-2,-2,653,0.048191551240293874
21,21.79315200332763,0,0,670,0.03252709254228005
22,21.993587218285413,0,2,695,0.031645449234943036
23,22.950844619618653,-1,2,697,0.032928041061145844
24,27.01533972186464,2,1,663,0.0407471187358441
25,22.724231785109204,-2,-1,659,0.03448290103961943
26,28.768186576755816,2,-1,670,0.0429375919056057
27,18.53663105724556,0,0,642,0.028873257098513336
28,28.2892801989182,-1,0,658,0.04299282705002766
29,22.954415183734692,-1,0,692,0.03317112020770909
30,27.29126786466034,-2,0,693,0.039381338910043785
31,35.867428597580066,1,-1,698,0.0513860008561319
32,19.886349517372675,-2,-2,680,0.029244631643195112
33,33.151637475699886,0,1,686,0.04832600215116602
34,29.974506370587896,-2,1,673,0.044538642452582315
35,20.779271744364845,-2,2,666,0.03120010772427154
36,26.339895042201395,0,0,664,0.039668516629821376
37,27.26528795832721,2,1,679,0.04015506326705039
38,28.178305512778213,1,-2,668,0.04218309208499733
39,33.202940449728274,0,0,673,0.049335721322033094
40,25.008767012245137,0,-2,647,0.038653426603160956
41,27.515562543805906,-2,2,684,0.040227430619599276
42,29.09472956283472,-2,-1,662,0.0439497425420464
43,24.999471797159707,1,1,655,0.03816713251474765
44,24.19705587085398,0,-2,646,0.03745674283413929
45,29.40458785766592,0,2,669,0.043953046125061165
46,29.420258069152297,0,-2,668,0.044042302498730986
47,25.259729728469033,-2,1,689,0.036661436470927476
48,23.87705430228724,0,2,684,0.03490797412615094
49,30.895804660363012,2,0,660,0.04681182524297426
50,26.730804494728698,0,2,672,0.039777982879060564
51,32.12983826314206,-2,-1,690,0.04656498299006096
52,26.0508214801667,-1,-2,668,0.038998235748752545
53,30.16851988016613,-2,0,683,0.044170600117373546
54,29.304459992877927,1,-2,694,0.04222544667561661
55,28.258027117962516,1,-2,693,0.04077637390759382
56,32.72257046838318,0,2,691,0.0473553841800046
57,22.113122279787035,-1,-2,679,0.03256719039732995
58,30.12257742277737,-2,0,633,0.04758701014656772
59,24.912687064829253,-2,2,651,0.03826833650511406
60,21.53663105724556,0,1,698,0.03085477228831742
61,28.5121560482004,-2,1,661,0.0431348805570354
62,27.02921998082742,-2,0,694,0.038947002854218184
63,34.02195914046273,0,-2,698,0.048742061805820525
64,22.8220143430316,0,2,646,0.0353281955774483
65,31.048787105445957,-1,2,659,0.0471150031949104
66,26.048984818664504,-1,0,674,0.038648345428285616
67,27.857647105573612,2,-2,650,0.0428579186239594
68,30.175827429509415,0,2,691,0.043669793675122165
69,42.20752549360563,0,-2,693,0.06090552019279312
70,28.24771742311577,2,-2,679,0.04160194024022941
71,22.302757382371414,-1,-2,680,0.032798172621134436
72,30.608386999856233,-1,2,696,0.04397756752852907
73,27.837882267736525,2,2,693,0.04017010428244809
74,17.18033988749895,0,-1,641,0.026802402320591185
75,16.77927174436484,2,0,635,0.026424049991125735
76,35.6919588091941,0,0,686,0.05202909447404387
77,21.730804494728698,-2,-1,631,0.0344386759028981
78,32.090666228591346,-1,2,663,0.04840221150617096
79,27.638310528300114,1,-2,627,0.04408024007703367
80,31.021912431484132,0,-2,693,0.044764664403296
81,21.601814290236735,1,0,695,0.031081747180196743
82,19.52145126328583,1,-1,672,0.029049778665603914
