path_num,teo_path_dist,teo_path_Xdist,teo_path_Ydist,teo_path_time,avg_path_vel,energy
1000,42.71701435624271,26.0,25.0,696,0.0613750206267855,35569112.05737185
1001,33.11628673625973,28.0,12.0,621,0.05332735384260826,27288288.915886275
1002,36.49412593086418,23.0,22.0,653,0.055886869725672556,26562164.450662464
1003,35.363584120105656,18.0,23.0,693,0.05102970291501538,26403983.86595407
1004,35.27701279016154,13.0,31.0,680,0.05187795998553168,25134097.226638705
1005,33.45739572898228,22.0,21.0,671,0.04986199065422098,24503644.657232028
1006,31.39562313220224,12.0,24.0,699,0.04491505455250678,21145208.641885087
1007,30.27267743448948,15.0,24.0,672,0.04504862713465697,23995643.207281087
1008,48.01250322518255,39.0,21.0,625,0.07682000516029208,22552153.62107164
1009,42.08709364158738,27.0,30.0,642,0.06555622062552552,22994245.361594122
1010,25.10605055234537,19.0,15.0,682,0.036812390839216086,15978189.242296586
