path_num,teo_path_dist,teo_path_Xdist,teo_path_Ydist,teo_path_time,avg_path_vel,energy
1000,42.71701435624271,26.0,25.0,696,0.0613750206267855,35569112.05737185
1001,33.11628673625973,28.0,12.0,621,0.05332735384260826,27288288.915886275
1002,36.49412593086418,23.0,22.0,653,0.055886869725672556,26562164.450662464
1003,35.363584120105656,18.0,23.0,693,0.05102970291501538,26403983.86595407
1004,35.27701279016154,13.0,31.0,680,0.05187795998553168,25134097.226638705
1005,33.45739572898228,22.0,21.0,671,0.04986199065422098,24503644.657232028
1006,31.39562313220224,12.0,24.0,699,0.04491505455250678,21145208.641885087
1007,30.27267743448948,15.0,24.0,672,0.04504862713465697,23995643.207281087
1008,48.01250322518255,39.0,21.0,625,0.07682000516029208,22552153.62107164
1009,42.08709364158738,27.0,30.0,642,0.06555622062552552,19269819.38944959
1010,34.34869123946466,27.0,18.0,682,0.0503646499112385,31382994.823557332
1011,51.50882295636974,24.0,37.0,620,0.08307874670382216,26993174.24571427
1012,36.810507599286126,25.0,22.0,673,0.05469614799299573,22727344.127071224
1013,47.812350698887364,34.0,24.0,639,0.07482371001390824,22702952.933079693
1014,30.18321690567169,23.0,16.0,645,0.04679568512507239,20165306.982831582
1015,46.38598496525338,24.0,33.0,699,0.06636049351252271,24542818.289987247
1016,43.14536323598356,33.0,18.0,697,0.0619015254461744,23862970.824196354
1017,53.84947432316766,40.0,28.0,664,0.08109860590838504,23771149.876704514
1018,38.31065550389708,26.0,26.0,655,0.05848955038762913,21763305.483310085
1019,41.45584412271571,22.0,32.0,626,0.06622339316727749,19085270.695129853
1020,49.933794869466745,33.0,30.0,690,0.07236781865140107,24552255.206607252
1021,43.42930896593345,30.0,25.0,670,0.06481986412825888,21515034.316999547
1022,47.37130805106198,32.0,24.0,677,0.06997239003111075,22757648.54491507
1023,43.02355220234485,33.0,19.0,672,0.06402314315825126,22590135.95551221
1024,37.54132932004922,25.0,23.0,668,0.05619959479049285,20969307.729392994
1025,44.54672348139687,25.0,34.0,638,0.06982245059780073,21487073.74254781
1026,40.19441511348504,34.0,17.0,666,0.060351974644872436,19753905.020255994
1027,36.768054002265956,16.0,27.0,624,0.0589231634651698,18094804.054841347
1028,38.97056274847714,17.0,31.0,649,0.06004709206236848,20478802.339381438
1029,41.852083625645015,30.0,24.0,648,0.06458654880500773,18387602.873760927
1030,43.42287863361691,22.0,33.0,624,0.06958794652823223,20562119.43670657
1031,32.486899036976155,17.0,22.0,620,0.052398224253187346,12165913.735034306
1032,36.427016029748664,18.0,29.0,612,0.059521268022465136,19311386.562101007
1033,42.886747895427476,26.0,29.0,680,0.06306874690504041,19427959.348323
1034,48.459374564675805,33.0,30.0,669,0.07243553746588312,22656376.98122297
1035,57.254165526563604,31.0,39.0,677,0.08457040698163014,21997401.964083374
1036,36.51466252610679,23.0,24.0,618,0.059085214443538495,31767190.620328747
1037,36.689877272018066,27.0,19.0,682,0.05379747400589159,27190400.70727513
1038,39.5915938381904,16.0,34.0,675,0.058654213093615404,22315155.60277931
1039,35.03437210304226,25.0,17.0,615,0.056966458704133756,22142529.073487658
1040,46.422995883827056,32.0,31.0,671,0.06918479267336372,22628042.075196348
1041,39.9976331127696,29.0,26.0,681,0.05873367564283348,22513952.075994793
1042,36.64045812194716,29.0,18.0,667,0.054933220572634424,22799156.57375498
1043,41.668633153483015,24.0,32.0,660,0.06313429265679245,22221211.985907327
1044,39.629611300595165,30.0,21.0,666,0.05950392087176451,20167504.31159244
1045,40.48584488853559,33.0,20.0,630,0.0642632458548184,21842440.304485455
1046,43.50874538984099,27.0,29.0,680,0.06398344910270734,24135763.170000944
1047,37.38313769142642,26.0,25.0,660,0.05664111771428246,21983644.739998706
1048,35.735913600840725,23.0,21.0,622,0.05745323730038702,20869357.245107204
1049,29.485281374238575,18.0,15.0,645,0.04571361453370322,15466746.452540696
1050,39.71614876300364,26.0,24.0,621,0.06395515098712341,21173253.025486525
1051,23.858248405184263,19.0,14.0,671,0.03555625693768146,5825725.136386538
