path_num,teo_path_dist,teo_path_Xdist,teo_path_Ydist,teo_path_time,avg_path_vel
1,55.64600835182563,5,4,564,0.09866313537557736
2,39.51317060592086,5,-1,663,0.0595975423920375
3,28.355996765201052,6,-2,659,0.04302882665432633
4,11.77269903474535,0,-2,663,0.01775671045964608
5,24.794214031372846,1,2,602,0.04118640204546985
6,19.275849680179242,2,-5,606,0.03180833280557631
7,16.061783894463968,-1,-1,618,0.02598994157680254
8,40.231731703591734,-1,1,665,0.06049884466705524
9,32.31516774000364,-2,5,601,0.05376899790350023
10,23.06276704886218,0,3,628,0.036724151351691374
11,27.273101713504726,0,-1,678,0.04022581373673263
12,12.683238505927559,-2,-3,617,0.020556302278650823
13,34.82473482560962,-2,3,664,0.05244688979760485
14,48.60899385402592,0,6,693,0.07014284827420768
15,39.522000088211016,-2,-6,662,0.059700906477660146
16,21.313708498984763,-2,0,651,0.03273995161134372
17,12.280109889280517,0,4,663,0.01852203603209731
18,26.95815284274346,-2,7,602,0.044780984788610395
19,39.050916399277924,-2,-5,676,0.05776762780958273
20,21.94613444841058,2,-3,633,0.03467003862308148
21,15.23996489063195,-3,-2,673,0.022644821531399628
22,17.317279063100795,2,0,688,0.025170463754506968
23,11.70820393249937,2,0,587,0.01994583293441119
24,17.27935940109173,0,-2,622,0.02778032058053333
25,44.20068247057368,-1,5,602,0.0734230605823483
26,39.025560378411285,0,-4,666,0.05859693750512205
27,23.696997488084403,-4,4,681,0.034797353139624676
28,12.255832815336875,-3,-2,652,0.01879728959407496
29,24.34467364196607,-1,0,637,0.03821769802506448
30,20.16516007139094,1,3,691,0.02918257608016055
31,12.812559200041266,-1,0,605,0.0211777838017211
32,34.899734108738386,0,3,679,0.051398724755137536
33,19.454793968408556,3,0,689,0.028236275716122722
34,26.325803573691065,0,1,674,0.03905905574731612
35,32.54086196846632,2,-1,585,0.055625405074301394
36,43.57249236801188,3,0,675,0.06455184054520278
37,21.028531850082224,-7,-1,655,0.03210462877875149
38,20.462185144412175,0,-2,607,0.033710354438899796
39,15.528023972905325,-4,-3,658,0.02359882062751569
40,39.71512546267065,0,1,666,0.05963232051452049
41,39.0883591087845,-1,2,661,0.059135187759129355
42,40.264511741252214,3,-2,647,0.06223263020286277
43,55.86949056944428,3,6,643,0.08688878782184181
44,43.75836729943572,-6,0,652,0.06711406027520815
45,37.0878039197578,6,2,655,0.05662260140421039
46,38.10701948778538,5,-3,650,0.05862618382736212
47,29.958838890947945,2,-6,672,0.04458160549248206
48,15.819131909660761,-2,-1,686,0.023059959051983617
49,33.048129057571735,-3,-1,699,0.04727915458880077
50,33.77558146811619,3,-1,558,0.060529715892681336
51,53.14701995555391,4,1,630,0.08436034913579986
52,45.35358017879349,-6,5,603,0.0752132341273524
53,18.9423493829857,4,-3,677,0.02797983660706898
54,11.906114355209759,0,-2,591,0.02014570956888284
55,9.30056307974577,0,0,594,0.015657513602265607
56,31.50148454030218,0,2,629,0.05008185141542477
57,51.30708320011705,1,4,662,0.07750314682797137
58,38.21320343559643,-4,5,609,0.06274746048538
59,48.799444496877854,-1,-7,596,0.08187826257865412
60,57.09864545717238,-1,4,661,0.08638221703051797
