path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,teo_Xdist,teo_Ydist,teo_point_vel,Energy,energy_new
1,12,44,42.14999771118164,1.4142135623730951,-1,1,0.03214121732666125,102997749.94511682,16370738.480297871
1,11,52,50.25,2.23606797749979,2,1,0.04300130725961134,180391588.22548932,26980043.416261427
1,10,44,40.45000457763672,3.1622776601683795,-1,-3,0.07186994682200863,33663930.5921477,6386890.527203077
1,9,47,44.75,3.1622776601683795,-1,3,0.06728250340783787,30420452.447564594,5387709.9005233105
1,8,51,49.35000610351562,5.0,3,-4,0.09803921568627451,197499166.690568,29397166.1168491
1,7,40,37.75001525878906,5.656854249492381,-4,4,0.1414213562373095,31675414.889577065,6335976.558639869
1,6,64,61.80001831054688,2.23606797749979,1,-2,0.034938562148434216,26709077.66825407,3845633.5596050494
1,5,45,40.20001220703125,2.23606797749979,1,-2,0.049690399499995326,12947558.203450168,2236138.5661416347
1,4,44,41.850006103515625,2.23606797749979,-2,1,0.05081972676135886,28137671.708827313,4775044.705639564
1,3,69,66.04998779296875,4.123105625617661,4,1,0.05975515399445885,50498567.68460651,6704017.861067307
2,9,52,50.45000076293945,3.605551275463989,2,-3,0.06933752452815364,92105068.22800231,14725918.255644051
2,8,43,38.25,2.23606797749979,-2,1,0.052001580872088136,17588269.32220883,3410953.0836830707
2,7,61,59.64999389648438,4.123105625617661,4,1,0.06759189550192886,155334905.83254555,22259850.997977026
2,6,44,41.850006103515625,2.23606797749979,-1,-2,0.05081972676135886,23399724.370150767,4463255.2393899225
2,5,48,47.10002136230469,1.4142135623730951,-1,-1,0.029462782549439483,128519710.86233473,19291738.40781754
3,8,46,42.79999923706055,4.242640687119285,3,-3,0.09223131928520184,12322968.572143486,2047567.0992983493
3,7,58,56.59999084472656,3.1622776601683795,-3,1,0.05452202862359275,79399414.59030466,12487716.772390256
3,6,65,63.25,3.605551275463989,3,2,0.05547001962252291,88178371.08597271,13024707.11973811
3,5,43,42.0,4.242640687119285,-3,-3,0.09866606249114616,86629546.15400942,14646825.053692065
3,4,61,57.5,3.605551275463989,3,2,0.05910739795842605,22856355.838879306,3671963.4319792353
3,3,61,55.0,1.4142135623730951,-1,-1,0.023183828891362217,13376141.478244163,1916045.869582293
4,9,60,58.1500015258789,3.605551275463989,2,3,0.06009252125773315,119453720.23209885,18187733.135257687
4,8,50,46.55000305175781,1.4142135623730951,-1,-1,0.0282842712474619,19476026.24553869,3270612.107017192
4,7,54,51.94999694824219,2.23606797749979,1,2,0.04140866624999611,75619038.3410541,12394043.469607288
4,6,40,38.95001220703125,5.0,-3,-4,0.125,22083682.103452783,4363119.475813106
4,5,49,45.9000244140625,1.4142135623730951,1,1,0.02886150127292031,14043950.090309449,2479792.6766322963
4,4,63,61.94998168945313,3.605551275463989,3,2,0.057230972626412524,33407173.335367493,5100954.768522653
4,3,60,59.04998779296875,3.605551275463989,-2,-3,0.06009252125773315,21295376.30284928,3062404.050143102
5,10,40,37.95000076293945,2.8284271247461903,2,-2,0.07071067811865475,10925750.951263119,2089352.4146087577
5,9,45,43.30000305175781,3.1622776601683795,-3,1,0.07027283689263066,19092990.605664752,3485048.986520768
5,8,58,53.39999389648438,3.605551275463989,2,-3,0.06216467716317223,17844296.819631144,2986234.7615140667
5,7,52,50.05000305175781,2.23606797749979,-1,2,0.04300130725961134,37034000.87044,6060938.770987099
5,6,50,46.25,1.4142135623730951,1,-1,0.0282842712474619,18975693.939276725,3608087.9958718633
5,5,42,40.649993896484375,1.4142135623730951,1,-1,0.033671751485073696,53855840.91466095,9591619.22919622
5,4,47,46.0,5.0,-4,3,0.10638297872340426,45638643.33830492,8404366.57203321
5,3,66,65.04998779296875,1.4142135623730951,1,1,0.02142747821777417,24521051.14096792,3504041.098394207
6,8,60,53.6500015258789,2.23606797749979,-1,-2,0.037267799624996496,15840261.530892026,2627002.468370663
6,7,47,45.39999389648438,2.23606797749979,2,1,0.04757591441488915,96352111.84605251,16985528.44135337
6,6,48,44.40000915527344,4.123105625617661,-4,1,0.0858980338670346,31229325.172462806,6099825.0228683865
6,5,67,62.34999084472656,4.47213595499958,4,-2,0.06674829783581462,18379161.598032385,2942222.8793728924
6,4,47,46.10000610351562,5.0,-4,3,0.10638297872340426,94995343.22418077,15422904.606737705
7,9,53,49.29999542236328,1.4142135623730951,1,1,0.026683274761756512,19022269.131274767,3350123.5845267572
7,8,50,47.95000457763672,2.23606797749979,-1,2,0.044721359549995794,66821487.26345974,11295256.54271389
7,7,66,64.65000915527344,3.1622776601683795,1,-3,0.047913297881339086,157611432.81380835,23759737.7954429
7,6,51,48.90000915527344,1.4142135623730951,1,-1,0.0277296776935901,30684282.189957753,5947807.453534667
7,5,60,57.60000610351562,3.605551275463989,-3,2,0.06009252125773315,16534208.098767249,2672953.301059884
7,4,49,46.05001831054688,4.47213595499958,4,2,0.09126808071427714,19811713.42216349,3515905.4335236144
8,8,59,56.95000076293945,2.23606797749979,1,2,0.03789945724575915,25944355.196785975,4410101.373890588
8,7,67,65.0,3.1622776601683795,-1,-3,0.04719817403236387,69326893.41152112,10739127.457446536
8,6,69,63.34999084472656,3.605551275463989,-3,2,0.0522543663110723,26334481.038246933,4465510.605519908
8,5,69,66.85002136230469,3.1622776601683795,3,1,0.04583011101693304,66021138.34927043,9832403.92927742
8,4,52,49.94998168945313,1.4142135623730951,1,-1,0.02719641466102106,114598025.83019188,19816819.29874994
8,3,47,44.5,3.1622776601683795,-3,1,0.06728250340783787,32366461.234888893,6396631.068318621
