,path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,teo_Xdist,teo_Ydist,teo_point_vel,Energy
0,1,4,65,63.1500015258789,5.0990195135927845,5,-1,0.0784464540552736,518161458.81122905
1,1,3,139,135.39999389648438,12.041594578792296,-12,-1,0.08663017682584385,464281935.60587364
2,1,2,127,122.6500244140625,12.041594578792296,12,-1,0.09481570534482124,69684484.51187515
3,1,1,115,114.04998779296876,12.041594578792296,-12,-1,0.10470951807645476,102826005.87381184
4,1,0,118,118.0999755859375,14.422205101855955,12,8,0.12222207713437253,133062553.07605208
5,2,3,79,71.10000610351562,14.035668847618199,14,-1,0.1776666942736481,37516458.75933408
6,2,2,75,74.04998779296875,1.0,-1,0,0.013333333333333334,214477862.95746368
7,2,1,121,121.0,0.0,0,0,0.0,1354677961.444968
8,2,0,78,77.04998779296875,1.0,-1,0,0.01282051282051282,60741735.61614679
9,3,2,64,61.94999694824219,4.242640687119285,-3,3,0.06629126073623882,108416640.5474137
10,3,1,141,137.80000305175778,14.035668847618199,14,-1,0.09954375069232764,108866820.11507732
11,3,0,61,59.04998779296875,2.23606797749979,-1,-2,0.03665685209016049,18076078.283548884
12,4,2,110,105.09999084472656,2.23606797749979,2,-1,0.020327890704543543,70943072.37864172
13,4,1,109,101.89999389648438,1.4142135623730951,-1,1,0.012974436352046743,47119689.09666034
14,4,0,138,133.05001831054688,2.23606797749979,1,-2,0.016203391141302825,86351550.60779619
15,5,1,133,127.70001220703124,3.0,-3,0,0.022556390977443608,43446065.99378092
16,5,0,109,108.05001831054688,4.123105625617661,4,-1,0.03782665711575835,40839604.83375309
17,6,1,103,99.84999084472656,5.385164807134505,-2,5,0.05228315346732528,25235605.04669941
18,6,0,129,120.04998779296876,8.06225774829855,4,-7,0.06249812207983371,36236725.57455488
19,7,2,96,93.9499969482422,5.385164807134505,-2,5,0.056095466740984416,65624275.16643951
20,7,1,87,80.60000610351562,2.8284271247461903,2,-2,0.03251065660627805,23470856.20149457
21,7,0,88,86.05001831054688,1.4142135623730951,-1,-1,0.016070608663330627,61660830.17245758
22,8,3,84,83.25,10.0,6,-8,0.11904761904761905,32512341.074881274
23,8,2,92,92.09999084472656,10.04987562112089,-1,10,0.10923777849044446,314983908.04243475
24,8,1,100,97.94998168945312,2.23606797749979,-1,-2,0.022360679774997897,330063650.41467977
25,8,0,72,71.10000610351562,2.23606797749979,-1,-2,0.03105649968749708,203829180.9230025
26,9,2,133,129.0,2.8284271247461903,-2,-2,0.021266369358993908,72643587.97691709
27,9,1,128,123.04998779296876,14.142135623730953,2,14,0.11048543456039804,55606709.36578501
28,9,0,97,96.10000610351562,2.8284271247461903,-2,-2,0.0291590425231566,48591639.50271634
29,10,2,93,88.60000610351562,2.23606797749979,-2,-1,0.024043741693546127,49665763.17234417
30,10,1,83,81.35000610351562,6.4031242374328485,5,-4,0.07714607514979335,20118438.38296494
31,10,0,78,74.04998779296875,6.324555320336759,-2,6,0.08108404256841999,14728329.830708018
32,11,2,98,94.99999237060548,2.23606797749979,-2,-1,0.022817020178569285,33162392.599514585
33,11,1,85,83.55000305175781,2.0,-2,0,0.023529411764705882,235517354.38177168
34,11,0,79,78.30000305175781,2.23606797749979,2,-1,0.02830465794303532,85739823.02919355
35,12,2,84,74.94999694824219,1.0,-1,0,0.011904761904761904,17014772.59374882
36,12,0,70,67.25,3.6055512754639887,-2,-3,0.05150787536377127,35195054.36774052
37,13,2,137,135.94999694824222,11.401754250991381,-3,11,0.08322448358387867,95683285.30396344
38,13,1,81,81.0,2.0,2,0,0.02469135802469136,31240956.42318734
39,13,0,134,125.1500244140625,2.8284271247461903,-2,-2,0.0211076651100462,32543667.47780549
40,14,3,98,88.94999694824219,14.0,0,14,0.14285714285714285,21980351.16554567
41,14,2,135,134.64999389648438,1.0,-1,0,0.007407407407407408,37085916.79000851
42,14,1,107,106.49996948242188,1.4142135623730951,-1,-1,0.013216949181056963,45571825.83654933
43,14,0,123,122.09994506835938,2.0,2,0,0.016260162601626018,123960383.27974014
