,path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,sim_point_dist,teo_Xdist,teo_Ydist,sim_Xdist,sim_Ydist,avg_error_target_dist,teo_point_vel,Energy,avg_energy
516,14,3,72,82.60000610351562,7.071067811865476,14.362854578109514,5.0,5.0,4.81269121170044,4.693389654159546,0.028464600443840023,0.09820927516479827,1472279.0548536011,206160.30386430802
517,14,2,87,95.94998168945312,1.0,22.329457723398427,0.0,1.0,0.8845014572143555,2.0814366340637207,0.08880463242530823,0.011494252873563218,1953190.8637954653,254283.7914952263
518,14,1,97,84.04998779296875,4.47213595499958,6.03701165614463,4.0,2.0,5.80460786819458,6.716951847076416,0.02143326587975025,0.04610449438143897,1688814.857158656,225677.378042188
519,15,9,78,88.3499984741211,8.48528137423857,11.329251950530287,6.0,6.0,1.354041576385498,0.7697389125823975,0.044352851808071136,0.10878565864408422,1713564.0973738362,228984.634380337
520,15,8,78,76.75,2.8284271247461903,12.906407697672293,2.0,2.0,4.054133122495841,5.786743339151144,0.1135767474770546,0.03626188621469475,1436242.3372133982,209497.4763065485
521,15,7,77,73.94999694824219,1.4142135623730951,14.125994761643181,1.0,1.0,8.743256986141205,0.6042470932006836,0.02931041643023492,0.018366409900949288,1235462.6602273209,184171.89946206773
522,15,6,76,70.94998168945312,6.324555320336759,18.819855173319713,6.0,2.0,1.4515867233276367,2.849859595298767,0.09507212042808533,0.08321783316232577,1277272.3931706785,194782.21388383297
523,15,5,72,75.94998168945312,7.071067811865476,4.0292298705298615,7.0,1.0,8.641839623451233,0.3675042390823364,0.01946866698563099,0.09820927516479827,1268249.2706086491,186993.1533505607
524,15,4,79,64.94998168945311,1.4142135623730951,4.370984704047936,1.0,1.0,1.5167903900146484,1.8743544816970823,0.01540551707148552,0.01790143749839361,980638.4679606723,157027.82742479158
525,15,3,71,70.99996948242188,2.0,9.714074605727092,0.0,2.0,0.8841034173965454,0.9435770511627196,0.07219542562961577,0.028169014084507043,1220762.528687405,186164.54034044454
526,15,2,72,92.95001220703124,9.0,15.730323352609734,9.0,0.0,6.781056642532349,0.9709141254425048,0.055246978998184204,0.125,1754092.0333238554,234400.4076274116
527,15,1,95,73.04998779296875,3.0,7.437870249935592,0.0,3.0,6.181997776031494,1.951376914978028,0.026634760200977325,0.03157894736842105,1341209.9446176914,193586.98064120687
528,16,8,78,90.0,14.142135623730953,19.622488086869534,10.0,10.0,1.358670711517334,1.0085320472717283,0.0955650880932808,0.18130943107347366,1770119.681007618,238682.8890957628
