path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,teo_Xdist,teo_Ydist,teo_point_vel,Energy
1,11,42,42.0,2.0,-2,0,0.047619047619047616,449643382.27963734
1,10,45,44.099945068359375,2.0,2,0,0.044444444444444446,704393332.8330477
1,9,57,54.29998779296875,1.4142135623730951,-1,-1,0.024810764252159563,58303022.960763544
1,8,60,57.60000610351562,1.4142135623730951,1,1,0.023570226039551587,16992409.304179706
1,7,77,75.1500244140625,1.4142135623730951,-1,-1,0.018366409900949288,86263777.25817922
1,6,56,53.54998779296875,0.0,0,0,0.0,25467132.418264613
1,5,77,71.39996337890625,1.4142135623730951,1,1,0.018366409900949288,15549173.121079057
1,3,53,49.300048828125,4.123105625617661,-1,4,0.07779444576637096,9929379.270192325
1,2,63,58.70001220703125,2.0,0,-2,0.031746031746031744,12626246.81546399
1,1,40,36.9000244140625,2.23606797749979,-1,-2,0.05590169943749475,6796106.096458115
1,0,62,59.04998779296875,9.219544457292887,7,6,0.1487023299563369,36127037.040619455
2,8,79,75.24999237060547,2.0,-2,0,0.02531645569620253,34944073.13032548
2,7,57,55.0,2.23606797749979,-2,-1,0.03922926276315421,59886350.082422815
2,6,61,55.90000915527344,4.47213595499958,4,-2,0.07331370418032097,427410014.13448
2,5,69,65.54998779296875,4.0,0,4,0.057971014492753624,44988825.42901247
2,4,57,55.80001831054688,2.23606797749979,-2,-1,0.03922926276315421,17704645.395860616
2,3,61,59.35000610351562,1.0,0,-1,0.01639344262295082,134141642.07374683
2,2,55,52.70004272460938,2.23606797749979,-1,-2,0.040655781409087086,88165984.09812626
2,1,40,38.1500244140625,2.23606797749979,1,2,0.05590169943749475,28598734.616285335
2,0,68,65.050048828125,2.0,-2,0,0.029411764705882353,39955111.12934424
3,7,51,48.849998474121094,2.0,0,-2,0.0392156862745098,46847318.37085019
3,6,44,42.84999084472656,4.123105625617661,-1,4,0.09370694603676501,21162108.27441545
3,5,59,56.79998779296875,2.8284271247461903,2,-2,0.04793944279230831,18990778.59260246
3,4,70,67.89999389648439,2.23606797749979,-1,-2,0.031943828249996996,44403737.645364225
3,3,52,50.85000610351562,3.1622776601683795,1,3,0.060813031926314993,21968921.365261536
3,2,51,48.45001220703125,2.0,-2,0,0.0392156862745098,7900505.850170347
3,1,63,58.94998168945313,4.123105625617661,4,-1,0.06544612104155016,13637411.067621052
3,0,70,67.14999389648439,1.0,0,-1,0.014285714285714285,41004483.44682963
4,6,48,45.29999923706055,1.0,-1,0,0.020833333333333332,19480114.964074574
4,5,60,53.9000015258789,1.0,0,-1,0.016666666666666666,12202192.39017345
4,4,61,54.55000305175781,1.0,0,1,0.01639344262295082,8507489.784266114
4,3,44,39.94999694824219,2.23606797749979,-1,-2,0.05081972676135886,9133684.553111816
4,2,78,75.75,2.23606797749979,1,2,0.028667538173074228,89973322.4439359
4,1,47,43.95001220703125,2.8284271247461903,-2,-2,0.060179300526514684,42672045.66875077
4,0,63,61.05001831054688,5.0,4,3,0.07936507936507936,64600138.1330335
5,9,79,71.0,4.0,0,4,0.05063291139240506,29767419.016835097
5,8,40,38.149993896484375,2.0,-2,0,0.05,40243979.31981717
5,7,50,48.25,3.0,3,0,0.06,73441640.5395532
5,6,48,46.10000610351562,1.4142135623730951,-1,-1,0.029462782549439483,57944024.10053592
