path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,sim_point_dist,teo_Xdist,teo_Ydist,sim_Xdist,sim_Ydist,avg_error_target_dist,teo_point_vel,Energy,avg_energy
132,1,238,1199.7999267578125,11.313708498984761,11.147680826388298,8.0,8.0,7.834837913513184,7.922122955322266,0.050092155348603465,0.047536590331868744,5208726.809242642,477483.2037463281
133,3,121,582.5999755859375,21.95449840010015,66.81505715344673,19.0,11.0,56.812298043014835,35.13896739453048,0.1807516582550541,0.18144213553801777,1968185.461297158,249959.80354466758
133,2,246,1201.199951171875,14.142135623730951,13.965130179536546,10.0,10.0,9.856732368469238,9.88333511352539,0.059425627125701944,0.057488356194028256,5407714.748752408,489591.4891634299
133,1,126,612.300048828125,11.313708498984761,11.415860786147684,8.0,8.0,8.074164986610413,8.0507071018219,0.08906899043000661,0.08979133729352985,2104274.1945446557,261003.09122326676
134,3,164,781.1000366210938,26.248809496813376,44.11805878457417,20.0,17.0,21.89421366000397,34.82523429363937,0.15292949911700673,0.160053716443984,3044800.5297983773,334210.276969536
134,2,247,1212.050048828125,4.242640687119285,4.719452341388841,3.0,3.0,3.379528045654286,3.2302875518798935,0.020390066764633025,0.01717668294380277,5339546.299576746,485413.29996152245
134,1,169,850.9500732421875,8.54400374531753,8.403382196125433,3.0,8.0,2.9348392486572266,7.870854377746582,0.0533475369653281,0.05055623517939367,3144560.641363613,341075.4897847678
135,3,221,1053.0,22.80350850198276,69.35183717837403,18.0,14.0,57.8086160632388,38.126346279146674,0.09737957121524232,0.10318329638906225,4762570.8248871565,450020.6429993987
135,1,187,928.300048828125,4.123105625617661,4.380437479455568,1.0,4.0,1.2915935516357422,4.101903915405277,0.0240991158330793,0.02204869318512118,3597896.4346829555,373084.48054090457
136,3,173,850.0,17.72004514666935,57.28003952985976,17.0,5.0,51.025828991385424,25.18192510956942,0.10261321736668999,0.10242800662814652,3316179.1148153036,353505.88142106845
136,2,240,1216.050048828125,4.242640687119285,4.173168054106009,3.0,3.0,2.951923370361328,2.915936708450317,0.020407054581257522,0.017677669529663688,5076912.980048908,469360.77104192367
136,1,211,1031.099853515625,1.4142135623730951,1.3840291589434237,1.0,1.0,0.9260654449462891,1.0068868398666382,0.007060592996422202,0.006702433944896185,4011588.423391001,401158.8423391001
137,3,243,1205.14990234375,18.027756377319946,56.01311014146701,18.0,1.0,55.925624244373466,3.1293202625311096,0.07596228418291592,0.07418829784905327,5409399.219026248,489743.99393635854
137,2,241,1251.9000244140625,20.615528128088304,20.753405258099047,8.0,19.0,8.117398262023924,18.9879247546196,0.08615981912637344,0.08554161048999297,5410400.512581701,489834.646795409
138,3,219,1074.0,20.591260281974,65.16351978974687,10.0,18.0,29.958194966963667,57.854270998268476,0.09374764007893768,0.0940240195523927,4696864.902286185,445806.68769742124
138,2,217,1095.949951171875,12.727922061357855,12.533107987965543,9.0,9.0,8.876924872398376,8.845500946044924,0.0601904546600525,0.058654018715934814,4503916.273306949,433389.54546688386
138,1,153,688.899658203125,8.0,7.990848344796012,0.0,8.0,0.07971036434173473,7.98801815509796,0.04904593561943143,0.05228758169934641,2765255.6359002055,313103.5450068712
139,2,243,1229.5999755859375,20.396078054371138,23.139946890317855,20.0,4.0,21.83877766119258,6.084947581573942,0.0844616200774908,0.08393447759000468,5410367.107934031,489831.6224807109
