,path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,sim_point_dist,teo_Xdist,teo_Ydist,sim_Xdist,sim_Ydist,avg_error_target_dist,teo_point_vel,Energy,avg_energy
0,1000,9,71,70.34999847412111,11.401754250991381,11.200086264616726,7.0,9.0,6.8000513878773745,8.703007975280343,0.256042082736686,0.1605880880421321,5075411.085869905,500095.11416272435
1,1000,8,76,68.34999084472656,1.0,2.1970853662919616,0.0,1.0,1.2052178382873526,1.7233524322509766,0.0721085380783744,0.013157894736842105,3423421.95197174,362882.001145728
2,1000,7,70,67.69999694824219,3.0,2.878942780129909,3.0,0.0,2.837443828582765,0.1825408935546875,0.04930070212499781,0.042857142857142864,3535245.1553192087,370594.3890415749
3,1000,6,73,72.85003662109375,9.486832980505136,9.31230390175788,9.0,3.0,8.823959469795225,2.9131512641906734,0.17573505562102915,0.12995661617130327,4438546.21541598,448360.8753615037
4,1000,5,97,93.35000610351562,3.0,3.7071172596541984,0.0,3.0,1.4310587644577024,3.0032858848571764,0.0710226247087121,0.030927835051546393,5361108.331560294,489399.9944040763
5,1000,4,71,69.39999389648439,5.0,4.884555853739327,5.0,0.0,4.763830423355103,0.3946762084961026,0.08496492524373245,0.07042253521126761,3157334.5468342165,346562.49007314205
6,1000,3,79,76.60000610351562,3.0,3.2314796743459437,0.0,3.0,0.86083984375,2.8373136520385733,0.06036719921129671,0.0379746835443038,3359801.013320586,358155.99142612744
7,1000,2,78,75.60003662109375,2.8284271247461903,2.8050194674290165,2.0,2.0,1.8868117332458516,2.0014829635620113,0.058185575862548175,0.03626188621469475,3124957.2444315776,340960.7884787696
8,1000,1,81,80.0999755859375,4.0,3.9506218901160435,0.0,4.0,0.3138799667358425,3.8792433738708505,0.06691757123917341,0.04938271604938271,4093286.512648335,409328.6512648335
9,1001,7,92,95.8499984741211,8.06225774829855,20.922215875870638,8.0,1.0,15.796779589029025,11.3086512714799,0.09276180709544403,0.08763323639454945,4973220.653717306,472037.2148117253
10,1001,6,94,92.6500015258789,2.0,2.187946314261366,2.0,0.0,2.174842357635498,0.1170546412467952,0.028691396334518986,0.02127659574468085,3443840.2059854283,363012.6316192463
11,1001,5,89,90.75,9.486832980505136,9.263435481963056,9.0,3.0,8.778808832168579,2.936943471431732,0.1191953233606422,0.10659362899443976,4169394.81625806,423337.90376156115
12,1001,4,87,86.54995727539062,3.0,3.5146994009974866,0.0,3.0,1.1319422721862795,3.0087578296661395,0.06534641017845158,0.03448275862068965,4194491.206013528,415316.51616715617
13,1001,3,84,84.05001831054688,6.324555320336759,6.183468177140808,6.0,2.0,5.781334280967712,2.009878873825073,0.09313777716336202,0.07529232524210427,4068245.627422415,410954.8672404157
14,1001,2,94,92.39996337890624,1.4142135623730951,1.805354280401401,1.0,1.0,1.3416204452514642,1.0199689865112305,0.028141019003338773,0.015044825131628671,3324538.6040549413,354397.00596819725
15,1001,1,81,86.2000732421875,2.8284271247461903,2.7605405972994967,2.0,2.0,2.001332759857178,1.8853590488433836,0.03243196126450563,0.034918853391928274,3114557.802434595,339826.1163326631
16,1002,8,84,95.8000030517578,10.04987562112089,31.194258485711302,10.0,1.0,29.652439207807674,8.81856797736691,0.1150818623675715,0.11964137644191535,4615657.830895427,454794.2798769557
17,1002,7,70,73.3499984741211,4.47213595499958,4.830711064750124,2.0,4.0,2.5669097900390625,3.835321366786957,0.0831110064426194,0.06388765649999399,2385085.663805384,287130.5723198493
18,1002,6,76,77.10000610351562,1.4142135623730951,1.5981345631769002,1.0,1.0,1.0007348060607908,1.213491439819336,0.028383520076277893,0.018608073189119674,2564581.9381664926,298126.5946769023
19,1002,5,95,103.14997863769531,1.0,1.0150213663935148,1.0,0.0,0.981626510620118,0.1658873558044469,0.008891922700079694,0.010526315789473684,3257741.33373631,349266.5319157893
20,1002,4,85,92.0,7.071067811865476,6.941304855739872,5.0,5.0,4.958456516265867,4.848224759101869,0.08296414186265699,0.0831890330807703,4078587.727807003,411999.5771423663
21,1002,3,81,86.60000610351562,9.486832980505136,9.614090370984377,3.0,9.0,3.1322293281555185,8.911161065101624,0.19156246904871965,0.11712139482105108,4094804.2319737864,420118.04980317794
22,1002,2,77,80.8499755859375,2.0,2.6452837565279226,0.0,2.0,0.4806952476501407,2.5580425262451207,0.06393628650521105,0.025974025974025976,2583898.751126097,300372.1285715124
23,1002,1,85,92.9000244140625,1.0,1.039439622041232,1.0,0.0,0.8921537399291983,0.3253107070922834,0.014496364767049873,0.011764705882352941,2981806.9731519674,329285.49450579076
24,1003,8,74,90.0,10.04987562112089,27.009902971125086,1.0,10.0,7.199985797925365,25.79073336534201,0.18561839527553986,0.13580913001514716,3829862.6146128685,403702.96625681117
25,1003,7,91,122.3000030517578,9.0,9.302194645713756,9.0,0.0,8.779606699943542,1.3560075759887678,0.07568709597819381,0.0989010989010989,3585295.298676216,377923.3076036839
26,1003,6,74,90.9499969482422,1.4142135623730951,1.7726425163572703,1.0,1.0,1.3996133804321254,0.9186305999755876,0.03239435573999325,0.01911099408612291,2308927.976579811,277962.2641741595
27,1003,5,77,103.3499755859375,4.0,3.986151796066341,0.0,4.0,0.1371994018554652,3.974076747894287,0.031742492421089036,0.05194805194805195,2690115.773343019,308577.4421691313
28,1003,4,89,114.39999389648438,1.4142135623730951,1.4923065930583974,1.0,1.0,0.9221696853637696,1.1117339134216309,0.016870479625425334,0.01589004002666399,3038354.949107737,333502.782574824
29,1003,3,97,116.6500244140625,1.0,0.9831554538655096,0.0,1.0,0.122858047485348,0.9634819030761728,0.006854078132495157,0.010309278350515464,3313407.956849665,353210.47498936416
30,1003,2,93,117.449951171875,2.8284271247461903,2.649461295522383,2.0,2.0,1.9056940078735352,1.829805850982665,0.02425318027122153,0.03041319488974398,3439836.1627107267,362590.56839931523
31,1003,1,98,127.7999267578125,5.656854249492381,5.611520597826138,4.0,4.0,4.015038967132568,3.89613676071167,0.03977090036313908,0.057723002545840625,4198183.13407403,415682.07151695155
32,1004,8,84,99.5999984741211,8.06225774829855,26.13051579815984,1.0,8.0,5.142766333185137,25.587116434238855,0.08660901837154394,0.09597925890831606,3621438.3794799712,381733.122836863
33,1004,7,78,110.50000762939452,2.8284271247461903,3.0532000628985645,2.0,2.0,1.94023472070694,2.2276000976562536,0.02719899711174596,0.03626188621469475,2675416.161462365,306891.28104552487
34,1004,6,96,119.6999969482422,9.486832980505136,9.28945970554926,3.0,9.0,3.0101490020751958,8.760372877120973,0.07815761842127693,0.09882117688026186,3910988.706253545,401258.9747865661
35,1004,5,75,97.94998168945312,5.656854249492381,5.87006130423483,4.0,4.0,3.9480266571044917,4.170600414276123,0.07436471055198864,0.07542472332656508,2632360.2931168764,306005.66839782486
36,1004,4,91,125.09994506835938,4.0,4.0708315188907065,0.0,4.0,0.4934024810790945,3.9362826347351074,0.03928406373859289,0.04395604395604396,3398785.1334452014,360270.50360490463
37,1004,3,98,131.79998779296878,1.4142135623730951,1.463741951881131,1.0,1.0,0.9136848449707032,1.0765891075134275,0.015283980606389897,0.014430750636460156,3486505.81144096,365485.1175276406
38,1004,2,74,100.04998779296876,1.0,0.9872068118099868,0.0,1.0,0.11701011657714665,0.9699072837829588,0.008280706194722477,0.013513513513513514,2251126.195144074,272989.14938746503
39,1004,1,84,118.54998779296876,2.8284271247461903,2.6694064252402767,2.0,2.0,1.902938365936281,1.8565564155578616,0.02601071090766174,0.033671751485073696,3157476.546295708,342476.41636979865
40,1005,8,72,101.1999969482422,5.656854249492381,19.822302280682155,4.0,4.0,18.05793840205297,6.04811584809795,0.05606513343385975,0.07856742013183862,2894889.9579060865,325700.56661523844
41,1005,7,93,117.5,4.242640687119285,4.4144937121765455,3.0,3.0,3.03501296043396,3.0513508319854727,0.04303414250498863,0.045619792334615966,3522978.0502467826,369308.4470177851
42,1005,6,85,121.09999084472656,4.242640687119285,4.209295724658865,3.0,3.0,2.995360374450684,2.9089748859405526,0.03194405227837837,0.049913419848462176,3063323.142792442,336243.3978779049
43,1005,5,78,117.80001831054688,3.0,2.966804433924272,0.0,3.0,0.29303455352783203,2.8985794782638536,0.028993404819630086,0.038461538461538464,2671853.624939617,306482.6300801214
44,1005,4,72,100.65005493164062,9.486832980505136,9.333488428473693,9.0,3.0,8.815563917160032,2.9482148885726933,0.09789612331789817,0.13176156917368248,2629881.615958027,309934.5207269595
45,1005,3,96,121.8499755859375,3.0,3.615982549930515,0.0,3.0,1.219325304031372,2.9900516271591213,0.04016555216343653,0.03125,3630224.2473105607,376436.71855001687
46,1005,2,90,113.8499755859375,2.8284271247461903,2.7632346372629204,2.0,2.0,1.9064294099807733,1.9438523054122925,0.029550989929201275,0.03142696805273545,3271444.061105264,350735.6184931614
47,1005,1,85,100.74993896484376,1.0,0.9643752530266076,1.0,0.0,0.8977730274200444,0.20389461517334076,0.01430953382750195,0.011764705882352941,2819049.95697325,317167.89986966323
48,1006,7,93,140.85000610351562,9.0,10.174716657855924,0.0,9.0,1.0406976938247678,9.783485412597656,0.05754471618084885,0.0967741935483871,3658389.292143816,381413.4498220221
49,1006,6,73,129.49993896484378,6.324555320336759,6.374584407948703,6.0,2.0,5.823601722717285,2.2067346572875977,0.04405797900593219,0.08663774411420218,2498180.200607446,294413.3600792492
50,1006,5,90,156.64999389648438,2.8284271247461903,2.987693743360607,2.0,2.0,2.1284074783325213,1.9476909637451167,0.020837554437825558,0.03142696805273545,3264752.28534938,350018.18482634076
51,1006,4,96,161.95001220703125,1.4142135623730951,1.4055384679195202,1.0,1.0,1.0165052413940447,0.9253454208374025,0.009425309900831343,0.01473139127471974,3257216.38605233,349210.2516165765
52,1006,3,88,148.60009765625,1.0,0.870450605315,1.0,0.0,0.8532371520996076,0.09309673309326172,0.009070477923020149,0.011363636363636364,2764167.196388693,312980.3035006773
53,1006,2,85,159.24993896484375,8.0,7.827229630886704,0.0,8.0,0.12890529632568004,7.813781023025513,0.04577518587213862,0.09411764705882353,3093208.9660859895,339523.7931559038
54,1006,1,76,136.9000244140625,1.4142135623730951,1.6223935700349552,1.0,1.0,0.9196300506591796,1.2353225946426387,0.015212588468566537,0.018608073189119674,2609294.3152574287,301295.35506176733
55,1007,8,91,145.75,1.4142135623730951,21.52945821480101,1.0,1.0,20.773898467986328,4.789450524629502,0.0074932435481869205,0.015540808377726319,3484828.8820856344,365309.3275660964
56,1007,7,81,137.14999389648438,9.486832980505136,9.44330907261409,3.0,9.0,3.0319653749465947,8.940411031246185,0.05488299650648885,0.11712139482105108,3039566.526847781,337729.61409419787
57,1007,6,91,171.45001220703125,4.47213595499958,4.758617772037568,4.0,2.0,3.9086835384368883,2.4469194412231445,0.032336316928215154,0.04914435115384153,3390314.035956802,359372.56906700163
58,1007,5,74,142.54995727539062,2.8284271247461903,2.7421805950695104,2.0,2.0,1.9372210502624492,1.924371719360352,0.019204536565262567,0.03822198817224581,2458302.6528314967,289713.74600433843
59,1007,4,93,170.0999755859375,1.0,0.9718878271850988,0.0,1.0,0.17678880691528853,0.9154701232910192,0.0077552243823274265,0.010752688172043013,3089198.4939851724,337059.1889388247
60,1007,3,96,180.25,1.4142135623730951,1.2622887672540448,1.0,1.0,0.9206771850585938,0.8544626235961914,0.007408382483559211,0.01473139127471974,3369449.1908120015,357160.89990498655
61,1007,2,75,140.89996337890625,5.656854249492381,5.514216765476736,4.0,4.0,3.962510347366333,3.8259601593017583,0.03528995866056632,0.07542472332656508,2586186.1285326723,300638.0307939426
62,1007,1,71,116.89990234375,4.0,4.0771298958664115,0.0,4.0,0.4046410322189327,3.997148990631104,0.031653989150465744,0.056338028169014086,2577797.296229524,299662.8488468837
63,1008,8,86,155.64999389648438,5.385164807134505,9.93805727510293,5.0,2.0,6.879553194452912,6.189044443453895,0.029843775002316563,0.06261819543179656,3460850.992983221,364805.7260094132
64,1008,7,71,142.3000030517578,5.0,4.999366856812626,5.0,0.0,4.9841804504394505,0.18396461009979315,0.026050399288734687,0.07042253521126761,2372586.898437248,283578.37391441537
65,1008,6,78,155.6500244140625,10.816653826391967,10.757514061233454,9.0,6.0,8.953423976898197,5.92732298374176,0.060777877803700864,0.1386750490563073,2870571.7579633696,325028.24764060025
66,1008,5,73,124.85003662109376,7.071067811865476,7.157456795359246,5.0,5.0,5.098109483718872,5.010726451873778,0.05123578598108401,0.0968639426282942,2517702.921291289,296714.13477637514
67,1008,4,71,141.29998779296875,5.656854249492381,5.739026443481815,4.0,4.0,4.02323579788208,3.9761667251586914,0.03563357419833275,0.07967400351397719,2380341.7777233943,284505.2592728891
68,1008,3,90,183.050048828125,3.0,3.124434941869588,0.0,3.0,0.38674259185791016,3.017500400543213,0.01624133352544794,0.03333333333333333,3319223.1228712182,353830.3737701251
69,1008,2,78,164.300048828125,6.0827625302982185,5.968905477849658,6.0,1.0,5.841213703155518,0.9963588714599644,0.028673363054362463,0.07798413500382333,2739236.6592426463,312164.98874666484
70,1008,1,78,167.9500732421875,5.0,4.979591353927115,5.0,0.0,4.9766573905944815,0.06320858001708629,0.035614295996492726,0.0641025641025641,2891639.490559253,323295.12336566765
71,1009,8,90,184.6499938964844,11.401754250991381,36.55707122587543,9.0,7.0,26.65380620005863,24.92106005489768,0.05686145868404916,0.12668615834434865,3894764.676097517,397507.75519396295
72,1009,7,74,152.25,1.4142135623730951,1.7540062479838427,1.0,1.0,1.1794843673706092,1.1954731941223151,0.014920847182097994,0.01911099408612291,2302546.464999746,277194.0204586167
73,1009,6,77,163.70004272460938,7.071067811865476,6.901178619289966,5.0,5.0,4.8099517822265625,4.939598321914674,0.030306767107073317,0.09183204950474644,2696398.0728662885,309298.07134689396
74,1009,5,79,137.70001220703122,5.656854249492381,5.745489983631518,4.0,4.0,4.029241800308228,3.9965274333953857,0.037854961979274564,0.07160574999357444,2801164.2353839413,317169.3932592444
75,1009,4,79,156.5999755859375,7.071067811865476,7.040359123926454,5.0,5.0,4.926409959793092,4.974557876586914,0.04332350389225981,0.08950718749196804,2808729.413689964,318025.9810247561
76,1009,3,72,157.5999755859375,4.47213595499958,4.528695598088032,2.0,4.0,2.069620132446288,3.960857391357423,0.029084947358646338,0.06211299937499416,2415773.3003609055,286699.5443222753
77,1009,2,77,160.35003662109375,1.0,1.09002937995937,1.0,0.0,0.9400901794433584,0.3275542259216353,0.009445587373089178,0.012987012987012988,2350443.2260512253,280931.69883926515
78,1009,1,94,210.75,4.0,3.892266936213696,0.0,4.0,0.1318020820617649,3.8721442222595215,0.01671778618505126,0.0425531914893617,3724425.972144533,382118.0421363997
79,1010,8,95,201.3999938964844,12.206555615733702,12.08406613221264,10.0,7.0,9.89948272705078,6.929447253256513,0.05305733693775868,0.12849005911298633,3827398.9465107336,392682.84639135376
80,1010,7,71,166.15000915527344,4.242640687119285,4.4247461082382245,3.0,3.0,3.142407417297361,2.987007141113281,0.0323529930535837,0.05975550263548288,2362967.1270809127,282428.5913203807
81,1010,6,72,165.70004272460938,2.8284271247461903,2.7828438677051834,2.0,2.0,1.967200279235838,1.9682092666625997,0.022141118984187157,0.03928371006591931,2354759.5476259333,281447.5979425829
82,1010,5,96,219.0,2.8284271247461903,2.7882754314860954,2.0,2.0,1.92185878753662,1.9914207458496112,0.016885321579813473,0.02946278254943948,3602131.608935741,373523.647652795
83,1010,4,87,199.25,2.0,1.8933224486723157,2.0,0.0,1.865983963012696,0.14767169952392756,0.01029196165569396,0.02298850574712644,3035519.4903423986,333191.55054171546
84,1010,3,99,83.050048828125,1.0,0.3815057504009599,0.0,1.0,0.11079597473144533,0.3312754631042489,0.005222730367677286,0.010101010101010102,795412.5218008659,136412.1220934835
85,1,7,91,89.30000305175781,5.656854249492381,5.44644601726372,4.0,4.0,3.851872319789437,3.8501447594389897,0.09760924102237267,0.062163233510905275,3547183.6283996818,373905.98482011096
86,1,6,90,86.85000610351562,3.0,3.1716594417978565,0.0,3.0,0.5376179218292223,3.0195791721344016,0.05444683010379473,0.03333333333333333,3293748.347052902,353126.8889476684
87,1,4,70,68.60000610351561,5.0,4.828957366617747,3.0,4.0,2.877581596374512,3.841777801513672,0.10753682085915524,0.07142857142857142,2346654.5041682473,284573.65845638595
88,1,3,98,94.49998474121094,3.0,3.1745373342945284,3.0,0.0,2.9621477127075195,0.6791338920593297,0.04413900834818681,0.030612244897959183,3630906.106684743,376507.42407337937
89,1,2,95,91.04998779296876,3.0,2.9650495538314816,0.0,3.0,0.39983272552489707,2.823457956314087,0.041144536808133125,0.03157894736842105,3397217.0037043993,360104.2821848222
90,1,1,99,96.04998779296876,2.8284271247461903,2.805572819486004,2.0,2.0,1.9079599380493184,1.9904048442840576,0.04102297062054276,0.028569970957032224,4040155.641452067,404015.5641452067
91,2,8,87,98.4000015258789,9.848857801796104,27.553945575518217,9.0,4.0,24.93443038602891,11.71218160828721,0.11523997620439408,0.1132052620896104,4183034.4367131162,424722.79739385296
92,2,7,75,73.34999084472656,6.0827625302982185,6.280159271797291,1.0,6.0,1.5918617248535192,5.854363679885863,0.10629996582865717,0.08110350040397626,2483796.690812082,296870.4864628694
93,2,6,79,78.79998779296875,9.486832980505136,9.677158099666373,3.0,9.0,2.9771423339843763,9.06263780593872,0.2809575929492712,0.12008649342411568,2933390.2588792937,338718.7311204373
94,2,5,78,75.39999389648438,3.0,3.5963643684868374,3.0,0.0,3.0062761306762686,1.2572950720787053,0.07809879844614738,0.038461538461538464,2451235.011322904,290908.0751360625
95,2,4,83,81.50003051757812,6.324555320336759,6.210105428991258,2.0,6.0,2.031478881835937,5.775846302509309,0.09756371232547932,0.07619946169080433,2842141.171469508,323892.0462803358
96,2,3,80,77.79998779296875,3.0,3.200798495552121,0.0,3.0,0.2028274536132848,3.1705436706542964,0.07302307949898994,0.0375,2542973.102845653,297632.4892459589
97,2,2,99,95.60000610351562,2.8284271247461903,2.8110645907437126,2.0,2.0,1.8928928375244127,1.9951729774475109,0.042576717275582,0.028569970957032224,3393180.061486381,359676.3671655414
98,2,1,92,91.65008544921876,7.071067811865476,7.021727412549717,5.0,5.0,5.010248541831969,4.898018956184386,0.09352345902800233,0.07685943273766821,3651090.7823123457,382738.3104593199
99,3,8,92,103.1500015258789,6.0827625302982185,9.013462573813648,6.0,1.0,8.009607686661184,3.1830809077946474,0.06753065313702238,0.06611698402498065,3977448.95080637,403848.7539215984
100,3,7,70,68.89999389648439,4.0,4.023640736659528,4.0,0.0,4.0185937881469735,0.12172788381576573,0.06410377927952343,0.057142857142857134,2060289.3555056725,259572.0601667406
101,3,5,93,91.19998168945312,9.0,8.805596459099569,9.0,0.0,8.805593490600586,0.0043224692344662205,0.12437187936355748,0.0967741935483871,3219696.387599485,355555.9855802818
102,3,4,90,89.80001831054688,9.486832980505136,9.65890155735914,9.0,3.0,9.163445353507996,2.9388570189476013,0.14586197121534494,0.10540925533894598,3155309.723352165,352774.35157407477
103,3,3,86,81.75003051757812,2.0,2.5823816407330584,0.0,2.0,1.1258268356323258,2.010599851608277,0.05595306741694609,0.02325581395348837,2475845.927531774,291781.2407551359
104,3,2,70,68.54998779296875,4.242640687119285,4.073038333829004,3.0,3.0,2.8719344139099103,2.8581829071044917,0.07739375989573698,0.06060915267313264,1921522.5710387412,248067.49723315678
105,3,1,97,88.09994506835938,1.0,1.2969720703544494,0.0,1.0,0.5198354721069265,1.0664076805114746,0.022722021727709145,0.010309278350515464,2985336.3187279967,329675.2455237973
106,4,8,78,89.30000305175781,9.848857801796104,27.85392545383578,9.0,4.0,22.73766359896263,15.649199003062675,0.11888739508576693,0.12626740771533468,3176907.16410864,355189.01885764993
107,4,7,79,76.30000305175781,3.0,3.727924722160527,0.0,3.0,1.405426025390618,3.08519446849823,0.08023082538310325,0.0379746835443038,2198876.8295071675,270663.0274239453
108,4,6,93,91.50001525878906,8.246211251235321,8.088811251371304,8.0,2.0,7.731087207794189,2.0469340085983267,0.10481274839586173,0.08866893818532602,2942488.9674019963,333171.2681013125
109,4,5,74,73.30001831054688,9.486832980505136,9.47811102871042,9.0,3.0,8.945953607559202,2.970600128173828,0.16217857749471742,0.12820044568250186,2239980.333503436,284477.7868328653
110,4,2,81,73.04998779296875,1.0,1.9678970191591385,0.0,1.0,1.4335308074951154,1.0026445388793943,0.05492295531345712,0.012345679012345678,1978376.8402818115,251254.1099700257
