path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,sim_point_dist,teo_Xdist,teo_Ydist,sim_Xdist,sim_Ydist,avg_error_target_dist,teo_point_vel,Energy,avg_energy
1000,9,71,70.34999847412111,11.40175425099138,11.200086264616726,7.0,9.0,6.800051387877375,8.703007975280343,0.256042082736686,0.1605880880421321,5075411.085869905,500095.11416272435
1000,8,76,68.34999084472656,1.0,2.1970853662919616,0.0,1.0,1.2052178382873526,1.7233524322509766,0.0721085380783744,0.013157894736842105,3423421.95197174,362882.001145728
1000,7,70,67.69999694824219,3.0,2.878942780129909,3.0,0.0,2.8374438285827654,0.1825408935546875,0.04930070212499781,0.04285714285714286,3535245.155319209,370594.38904157496
1000,6,73,72.85003662109375,9.486832980505138,9.31230390175788,9.0,3.0,8.823959469795225,2.913151264190673,0.17573505562102917,0.12995661617130327,4438546.21541598,448360.8753615037
1000,5,97,93.35000610351562,3.0,3.7071172596541984,0.0,3.0,1.4310587644577024,3.003285884857177,0.0710226247087121,0.030927835051546393,5361108.331560294,489399.9944040763
1000,4,71,69.39999389648439,5.0,4.884555853739327,5.0,0.0,4.7638304233551025,0.39467620849610263,0.08496492524373245,0.07042253521126761,3157334.5468342165,346562.49007314205
1000,3,79,76.60000610351562,3.0,3.2314796743459433,0.0,3.0,0.86083984375,2.8373136520385733,0.06036719921129671,0.0379746835443038,3359801.013320586,358155.9914261274
1000,2,78,75.60003662109375,2.8284271247461903,2.8050194674290165,2.0,2.0,1.8868117332458514,2.001482963562011,0.05818557586254818,0.03626188621469475,3124957.2444315776,340960.7884787696
1000,1,81,80.0999755859375,4.0,3.950621890116044,0.0,4.0,0.3138799667358425,3.8792433738708505,0.06691757123917341,0.04938271604938271,4093286.512648335,409328.6512648335
1001,7,92,95.8499984741211,8.06225774829855,20.922215875870634,8.0,1.0,15.796779589029025,11.308651271479901,0.09276180709544402,0.08763323639454945,4973220.653717307,472037.2148117253
1001,6,94,92.6500015258789,2.0,2.187946314261366,2.0,0.0,2.174842357635498,0.11705464124679521,0.02869139633451899,0.02127659574468085,3443840.2059854283,363012.6316192463
1001,5,89,90.75,9.486832980505138,9.263435481963056,9.0,3.0,8.778808832168579,2.9369434714317317,0.1191953233606422,0.10659362899443975,4169394.8162580603,423337.9037615612
1001,4,87,86.54995727539062,3.0,3.5146994009974866,0.0,3.0,1.1319422721862797,3.0087578296661395,0.06534641017845157,0.034482758620689655,4194491.206013528,415316.51616715617
