path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,sim_point_dist,teo_Xdist,teo_Ydist,sim_Xdist,sim_Ydist,avg_error_target_dist,teo_point_vel,Energy,avg_energy
6,1,234,118.04998779296876,2.8284271247461903,4.970651560359308,2.0,2.0,1.915111422538757,2.343350887298584,0.026786576956510544,0.012087295404898248,4019794.8037666045,401979.4803766604
7,4,178,131.64999389648438,14.317821063276353,5.129787346300826,6.0,13.0,0.12725841999053955,1.8469194173812864,0.01367074251174927,0.08043719698469862,3961072.762285838,398102.79150905303
7,3,128,135.94998168945312,5.656854249492381,3.487564598688736,4.0,4.0,2.89563232474029,2.0642156100511784,0.007053438574075699,0.04419417382415922,3954692.829270916,397461.58411517134
7,1,121,176.05001831054688,18.0,9.196848868346027,0.0,18.0,0.9277093410491944,0.9664985537528992,0.07065889984369278,0.1487603305785124,5953488.695359359,524175.4517628503
8,3,196,118.9000015258789,28.284271247461902,32.48693128487265,20.0,20.0,0.9480928182601928,6.943461418151856,0.07599179446697235,0.14430750636460155,3539993.9460561536,383966.25369661633
9,3,158,231.9499969482422,23.021728866442675,56.51413489153326,13.0,19.0,0.9480928182601928,6.943461418151856,0.07375076413154602,0.14570714472432073,8326510.146966344,679856.7066058037
9,1,232,159.04998779296875,26.870057685088806,47.71817767019488,19.0,19.0,33.829902940739885,54.58682895348466,0.07725651562213898,0.11581921415986554,4640666.938781785,459494.4967207869
10,3,174,197.0,18.384776310850235,62.87422894027149,13.0,13.0,1.2215499877929688,19.349489450454712,0.05320144072175026,0.10565963397040365,6204271.409028121,557160.02013729
10,2,188,191.1499938964844,8.06225774829855,25.207681844976783,7.0,4.0,32.7985208677128,19.725437617860734,0.009196304716169834,0.042884349724992284,4707638.704443245,446829.2917436242
10,1,206,172.10003662109375,8.54400374531753,31.589995971023296,8.0,3.0,1.6496934890747068,1.8575916290283203,0.0789143443107605,0.04147574633649287,4336732.06961278,425251.5663111382
11,3,231,122.0,21.18962010041709,70.52487000651954,7.0,20.0,7.783816337585449,2.896636962890625,0.032054662704467766,0.09172995714466273,3174561.922030172,364147.2265300465
11,2,113,167.34999084472656,8.48528137423857,28.66245543738444,6.0,6.0,32.53753635194153,29.70807723514736,0.079734206199646,0.0750909856127307,4083692.2284580832,410426.5115480535
12,3,180,220.75,20.615528128088304,62.69353671953788,19.0,8.0,7.223052978515625,7.619527339935303,0.06225324422121047,0.1145307118227128,6264583.972168574,553716.2260041196
12,2,211,151.0499725341797,9.0,34.39689983417339,0.0,9.0,26.82971163804177,25.835642408579588,0.04141927137970925,0.04265402843601896,3052842.0142923123,341318.11342624977
12,1,152,167.04998779296875,1.4142135623730951,28.683779620373805,1.0,1.0,12.807053089141846,2.8160495758056636,0.011871390976011751,0.009304036594559837,3489032.020013842,365749.93614177546
13,4,135,236.1499938964844,19.697715603592208,71.61996146858876,8.0,18.0,1.657453536987305,0.9663124084472656,0.07655058801174164,0.1459090044710534,6539737.344685561,567067.1449646046
13,3,228,177.04998779296875,6.0,22.447669353277142,0.0,6.0,37.790583861991756,24.948581309523433,0.01180869247764349,0.02631578947368421,3721209.5461748457,381788.0437948012
14,3,221,146.10000610351562,21.93171219946131,63.263392382239395,9.0,20.0,37.790583861991756,24.948581309523433,0.056323077529668815,0.09923851673964393,3311763.866418316,370266.45653694443
14,1,236,220.69998168945312,21.95449840010015,36.33178700922732,19.0,11.0,29.530505974777046,27.7643141169101,0.07658695429563522,0.0930275355936447,5113812.462589046,478952.41955505434
15,3,207,186.1499938964844,15.524174696260024,63.98931105995082,15.0,4.0,12.022655487060547,11.704638481140135,0.020312992855906487,0.07499601302541074,4417133.031786071,443938.5731975573
15,2,174,212.15000915527344,5.0,42.82147863716185,5.0,0.0,28.743232113774862,26.71681833267212,0.005298695992678404,0.028735632183908046,4601808.155082486,451244.4150110771
15,1,202,218.7500305175781,4.242640687119285,21.6569037372954,3.0,3.0,8.072053909301758,19.495277643203735,0.013133712112903595,0.0210031717184123,4521954.991750124,435125.32195838436
16,4,243,143.39999389648438,17.72004514666935,55.88972351222699,17.0,5.0,3.0216732025146484,3.6370453834533687,0.06181231513619422,0.07292199648835124,2864097.464024668,330717.4883679933
16,3,130,200.20001220703125,4.0,19.84083039361239,4.0,0.0,34.71734698314867,7.88109991253441,0.023230431601405144,0.03076923076923077,3672730.820084169,378813.25996242935
16,2,189,122.60000610351562,5.656854249492381,18.906407977265573,4.0,4.0,3.211857795715332,2.943188190460205,0.007350166328251363,0.029930445764509952,1682086.0979839999,224778.2097754139
16,1,122,271.04995727539057,1.0,22.72718430137535,1.0,0.0,0.9281272888183594,0.2285720109939575,0.030948592349886894,0.00819672131147541,5761324.007613596,511234.8361011255
17,3,152,242.8999938964844,7.0710678118654755,45.44615062164413,7.0,1.0,4.035978317260741,3.907537579536438,0.07290364056825638,0.04652018297279918,5371215.567324626,494460.47185393935
17,2,217,189.84999084472656,4.242640687119285,25.731976999507353,3.0,3.0,29.761817151214927,9.820121970609762,0.004958927631378174,0.01955133957197827,3252637.322739853,350740.9027360457
17,1,174,164.65008544921875,3.0,13.089119581148804,0.0,3.0,7.206568717956543,3.9882484674453735,0.04328139126300812,0.017241379310344827,2771694.812110982,313832.63814109855
18,3,174,196.1499938964844,11.661903789690601,28.378167385665897,6.0,10.0,0.5366487503051758,2.9497584104537964,0.030583390966057774,0.0670224355729345,4056014.4317478267,405601.4431747827
18,2,181,183.5000305175781,4.0,14.66591375901426,0.0,4.0,16.89841382089071,4.847085429413711,0.042962882667779916,0.022099447513812154,3888044.513307097,394771.1086455169
18,1,178,189.0,5.0,10.997053352206533,5.0,0.0,5.8632917404174805,4.86095541715622,0.03534235432744026,0.028089887640449437,3796270.4407535773,387455.229394036
19,3,228,241.4499969482422,19.6468827043885,28.259912361738998,19.0,5.0,5.009315729141235,0.4090952873229981,0.014115617610514162,0.08617053817714254,5116848.044770072,475087.41403708264
19,2,182,179.05001831054688,1.4142135623730951,20.489708971603054,1.0,1.0,11.736245942767711,15.75134514668025,0.0193370133638382,0.00777040418886316,2933430.0737403193,327967.4526062787
19,1,156,269.25,14.317821063276353,20.425824009541035,14.0,3.0,0.4106564521789551,8.972039103507996,0.07837603241205215,0.0917809042517715,5397719.090766791,492742.0841815411
