path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,sim_point_dist,teo_Xdist,teo_Ydist,sim_Xdist,sim_Ydist,teo_point_vel,Energy,energy_new,avg_energy
251,5,103,99.3499984741211,3.1622776601683795,2.9413209910918545,3.0,1.0,4.232948072058207e-07,4.2186748032690964e-05,0.030701724856003684,32681516.096726168,4470740.878523462,447074.0878523462
251,4,139,136.40000915527344,2.23606797749979,10.44671898704173,1.0,2.0,2.673179811341072,0.9550813361965992,0.016086819982012876,59865763.94307246,6782404.939441121,581586.4254888578
251,3,131,6.0500030517578125,7.280109889280518,4.658814990646285,2.0,7.0,7.4526097774505615,0.9630708210170268,0.055573357933439066,970986.3453181644,269317.8895110849,74695.34307938167
251,2,118,120.6999969482422,8.94427190999916,13.170560818783065,4.0,8.0,0.2823901176452637,0.036748941987752914,0.0757989144915183,54932128.57525637,5128075.5301291,474090.750470068
251,1,84,82.69999694824219,8.06225774829855,11.00594028211121,7.0,4.0,4.654638807881838,3.918422065675258,0.09597925890831606,21380629.76009974,3257664.058022375,361962.67311359727
251,0,121,124.79998779296876,6.082762530298219,6.696034736667614,6.0,1.0,1.7733702620912482,6.82305645942688,0.050270764713208425,48652201.77513664,5823507.696765861,516752.74623600265
252,4,101,0.0,6.324555320336759,6.336644446524559,6.0,2.0,1.830391526222229,2.665439248085022,0.06261935960729464,1971891.6736638886,440038.71076450567,93816.56835919188
252,3,109,111.5999984741211,3.1622776601683795,4.254380011040888,1.0,3.0,3.00148852568438,1.0145784745218407,0.029011721652920913,31608206.873286266,4277361.243174186,417427.7149240916
252,2,94,92.5500030517578,6.324555320336759,10.22330540462906,6.0,2.0,4.096544885237762,0.9443476226697384,0.06728250340783787,46498129.59532044,4952897.231923822,527980.6189409395
252,1,114,22.84999084472656,4.123105625617661,4.502413712023274,1.0,4.0,5.424243330955505,1.993652582168579,0.036167593207172465,3437002.7660533497,784874.4763400067,148327.3339141219
252,0,106,117.8499984741211,6.324555320336759,12.519539387442425,6.0,2.0,2.864627480506897,0.5304415822029114,0.059665616229592065,40901319.78711632,5074550.819144647,471160.2152288503
253,4,78,13.25,5.0,7.024090912215575,4.0,3.0,7.039318084716798,3.4678616657947714,0.0641025641025641,13853347.324948873,3443114.7725434345,734074.536000845
253,3,76,78.75,1.4142135623730951,3.6292672582975114,1.0,1.0,2.8817437642428567,2.007187182229245,0.018608073189119674,36216067.91936712,5203769.066553168,613270.0657814227
253,2,132,26.84999847412109,2.23606797749979,4.7168757716294625,2.0,1.0,3.4443353169772317,0.9368861968105192,0.016939908920452953,5873231.178575364,1038258.0743895577,183539.8312556358
253,1,105,106.0,2.23606797749979,11.5542883729052,1.0,2.0,1.101292610168457,0.2664991021156311,0.021295885499998,28300485.001881503,3967162.085480388,402804.2809956002
253,0,107,234.6999969482422,5.0990195135927845,14.114526208497098,1.0,5.0,6.6007615928538135,1.6918355822563171,0.04765438797750266,155499406.69834366,14124495.509767259,937475.6934421659
254,3,144,0.0,6.324555320336759,5.567582257113823,6.0,2.0,10.65962052345276,3.372491419315338,0.04392052305789416,1291085.7236668568,295992.0082087416,64590.75155802613
254,2,143,144.0500030517578,7.0710678118654755,3.051912454584457,7.0,1.0,1.9950827058527096,1.9414083467927408,0.049448026656401925,49399195.76868786,5922094.739183719,521411.36804605136
254,1,94,33.050003051757805,7.810249675906654,3.5532825150208778,6.0,5.0,2.7822614606592277,0.964006174901442,0.08308776250964525,6990291.754630857,1214425.753533794,205275.41853019418
