path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,sim_point_dist,teo_Xdist,teo_Ydist,sim_Xdist,sim_Ydist,avg_error_target_dist,teo_point_vel,teo_Xvel,teo_Yvel,Energy,avg_energy
1,7,91,89.30000305175781,5.656854249492381,5.44644601726372,4.0,4.0,3.8518723197894364,3.8501447594389897,0.09760924102237267,0.06216323351090528,0.04395604395604396,0.04395604395604395,3547183.628399682,373905.98482011096
1,6,90,86.85000610351562,3.0,3.171659441797856,0.0,3.0,0.5376179218292223,3.019579172134402,0.05444683010379473,0.03333333333333333,0.023570226039551584,0.02357022603955158,3293748.347052902,353126.8889476684
1,4,70,68.60000610351561,5.0,4.828957366617747,3.0,4.0,2.8775815963745117,3.841777801513672,0.10753682085915524,0.07142857142857142,0.042857142857142864,0.057142857142857134,2346654.5041682473,284573.65845638595
1,3,98,94.49998474121094,3.0,3.1745373342945284,3.0,0.0,2.9621477127075195,0.6791338920593297,0.04413900834818681,0.030612244897959183,0.018367346938775512,0.024489795918367346,3630906.106684743,376507.4240733794
1,2,95,91.04998779296876,3.0,2.9650495538314816,0.0,3.0,0.399832725524897,2.823457956314087,0.041144536808133125,0.031578947368421054,0.018947368421052636,0.02526315789473684,3397217.0037043993,360104.2821848222
1,1,99,96.04998779296876,2.8284271247461903,2.805572819486004,2.0,2.0,1.9079599380493182,1.9904048442840576,0.04102297062054276,0.028569970957032224,0.0202020202020202,0.020202020202020204,4040155.641452067,404015.5641452067
2,8,87,98.4000015258789,9.848857801796104,27.553945575518217,9.0,4.0,24.934430386028907,11.71218160828721,0.11523997620439407,0.11320526208961039,0.10344827586206896,0.045977011494252866,4183034.436713116,424722.797393853
2,7,75,73.34999084472656,6.082762530298219,6.280159271797291,1.0,6.0,1.5918617248535192,5.854363679885864,0.10629996582865715,0.08110350040397626,0.013333333333333327,0.08,2483796.690812082,296870.4864628694
2,6,79,78.79998779296875,9.486832980505138,9.677158099666372,3.0,9.0,2.977142333984376,9.06263780593872,0.2809575929492712,0.12008649342411568,0.037974683544303785,0.1139240506329114,2933390.258879294,338718.7311204373
2,5,78,75.39999389648438,3.0,3.5963643684868374,3.0,0.0,3.0062761306762686,1.2572950720787053,0.07809879844614738,0.038461538461538464,0.012162606385262995,0.036487819155789,2451235.011322904,290908.07513606246
2,4,83,81.50003051757812,6.324555320336759,6.210105428991258,2.0,6.0,2.0314788818359375,5.775846302509309,0.09756371232547931,0.07619946169080433,0.02409638554216867,0.07228915662650603,2842141.1714695077,323892.0462803358
2,3,80,77.79998779296875,3.0,3.200798495552121,0.0,3.0,0.2028274536132848,3.170543670654296,0.07302307949898994,0.0375,0.011858541225631418,0.03557562367689427,2542973.102845653,297632.4892459589
2,2,99,95.60000610351562,2.8284271247461903,2.8110645907437126,2.0,2.0,1.8928928375244132,1.9951729774475107,0.042576717275582,0.028569970957032224,0.0202020202020202,0.020202020202020204,3393180.061486381,359676.3671655414
2,1,92,91.65008544921876,7.0710678118654755,7.021727412549718,5.0,5.0,5.01024854183197,4.898018956184386,0.09352345902800233,0.07685943273766821,0.05434782608695652,0.05434782608695653,3651090.7823123457,382738.31045931985
3,8,92,103.1500015258789,6.082762530298219,9.013462573813646,6.0,1.0,8.009607686661184,3.183080907794647,0.06753065313702238,0.06611698402498065,0.06521739130434782,0.010869565217391302,3977448.95080637,403848.7539215984
3,7,70,68.89999389648439,4.0,4.023640736659528,4.0,0.0,4.018593788146973,0.12172788381576571,0.06410377927952343,0.05714285714285714,0.0563653670761225,0.009394227846020415,2060289.3555056723,259572.0601667406
3,5,93,91.19998168945312,9.0,8.805596459099567,9.0,0.0,8.805593490600586,0.00432246923446622,0.12437187936355747,0.0967741935483871,0.09545747649988488,0.015909579416647477,3219696.3875994855,355555.9855802818
3,4,90,89.80001831054688,9.486832980505138,9.65890155735914,9.0,3.0,9.163445353507996,2.938857018947601,0.14586197121534497,0.10540925533894598,0.09999999999999999,0.03333333333333333,3155309.723352165,352774.3515740748
3,3,86,81.75003051757812,2.0,2.5823816407330584,0.0,2.0,1.125826835632326,2.010599851608277,0.05595306741694609,0.023255813953488372,0.022062402280244506,0.007354134093414836,2475845.9275317746,291781.2407551359
3,2,70,68.54998779296875,4.242640687119285,4.073038333829004,3.0,3.0,2.8719344139099103,2.858182907104492,0.07739375989573698,0.06060915267313264,0.04285714285714285,0.04285714285714286,1921522.5710387414,248067.49723315678
3,1,97,88.09994506835938,1.0,1.2969720703544494,0.0,1.0,0.5198354721069265,1.0664076805114746,0.022722021727709145,0.010309278350515464,0.007289760630789149,0.00728976063078915,2985336.318727997,329675.24552379723
4,8,78,89.30000305175781,9.848857801796104,27.853925453835785,9.0,4.0,22.737663598962627,15.649199003062677,0.11888739508576691,0.12626740771533468,0.11538461538461539,0.05128205128205127,3176907.1641086396,355189.01885764993
4,7,79,76.30000305175781,3.0,3.7279247221605267,0.0,3.0,1.405426025390618,3.08519446849823,0.08023082538310325,0.0379746835443038,0.03470170437798445,0.015422979723548641,2198876.8295071675,270663.02742394526
4,6,93,91.50001525878906,8.246211251235321,8.088811251371304,8.0,2.0,7.7310872077941895,2.0469340085983267,0.10481274839586173,0.08866893818532603,0.08602150537634409,0.021505376344086037,2942488.967401996,333171.2681013125
4,5,74,73.30001831054688,9.486832980505138,9.478111028710419,9.0,3.0,8.945953607559204,2.970600128173828,0.16217857749471742,0.12820044568250186,0.12162162162162161,0.040540540540540536,2239980.3335034354,284477.7868328653
4,2,81,73.04998779296875,1.0,1.9678970191591383,0.0,1.0,1.4335308074951154,1.0026445388793945,0.05492295531345712,0.012345679012345678,0.011712139482105107,0.003904046494035036,1978376.8402818115,251254.1099700257
4,1,92,90.05001831054688,3.0,3.0026943284085474,0.0,3.0,0.016291618347155534,3.0024619102478027,0.03792412174911595,0.03260869565217391,0.030935324936429795,0.010311774978809933,2951025.5847921823,327891.73164357577
5,8,73,84.69999694824219,12.727922061357855,40.673400731226195,9.0,9.0,28.762135435361415,28.488718608394265,0.19032642819188736,0.17435509673092953,0.12328767123287672,0.1232876712328767,3068490.709708038,356704.79951090564
5,6,82,75.94999694824219,1.4142135623730951,2.429964556353726,1.0,1.0,1.7254543304443324,1.7012176513671857,0.06594508252074492,0.017246506858208478,0.012195121951219514,0.012195121951219513,1801236.6002409908,236513.9527140186
5,5,84,80.19999694824219,2.8284271247461903,2.63920981759055,2.0,2.0,1.8678522109985352,1.8638706207275444,0.04697887854191905,0.033671751485073696,0.02380952380952381,0.023809523809523815,2220623.4674917734,271292.3351480418
