path_num,point_num,point_coords,teo_point_time,sim_drone_time,teo_point_dist,teo_point_vel,Energy
331,0,"[1, 3, 1]",59,107.10000610351562,3.1622776601683795,0.053597926443531854,8999298.044377165
331,2,"[3, -3, 1]",58,64.1500244140625,1.0,0.017241379310344827,53289424.00698261
331,3,"[5, -2, 1]",80,59.8499755859375,2.23606797749979,0.027950849718747374,679025648.2419913
331,4,"[-5, 0, 1]",93,92.0,10.198039027185569,0.10965633362565128,641085419.1000656
331,5,"[3, -1, 1]",60,76.10000610351562,8.06225774829855,0.13437096247164249,50118674.20348359
331,6,"[5, 0, 1]",68,52.25,2.23606797749979,0.032883352610291024,18630659.280304626
331,7,"[5, 0, 1]",68,59.0,0.0,0.0,149760690.30280477
331,8,"[5, -2, 1]",112,57.05000305175781,2.0,0.017857142857142856,54372568.409316026
332,0,"[5, -2, 1]",67,112.05001831054688,5.385164807134504,0.08037559413633588,40086421.11479938
332,1,"[5, 0, 1]",104,65.60000610351561,2.0,0.019230769230769232,15146856.52379296
332,2,"[-5, 0, 1]",79,66.64999389648439,10.0,0.12658227848101267,19562142.168127563
332,3,"[-4, 0, 1]",70,92.64999389648438,1.0,0.014285714285714285,81456321.7728185
332,4,"[-1, -2, 1]",95,62.89999389648438,3.605551275463989,0.03795317132067357,59087041.069711484
333,0,"[1, 2, 1]",50,56.04998779296875,2.23606797749979,0.044721359549995794,337439602.5704718
333,1,"[2, 2, 1]",76,70.1500244140625,1.0,0.013157894736842105,245331601.67145452
333,2,"[-3, -3, 1]",74,103.04998779296876,7.0710678118654755,0.09555497043061453,181424136.0966326
333,3,"[1, 2, 1]",115,90.25,6.4031242374328485,0.055679341195068247,33052527.60767207
333,4,"[2, 2, 1]",100,113.5500030517578,1.0,0.01,321637996.8920823
334,0,"[-4, 3, 1]",92,108.04998779296876,5.0,0.05434782608695652,343484172.019978
334,1,"[2, 4, 1]",79,87.4000244140625,6.082762530298219,0.07699699405440784,110236131.64906178
334,2,"[2, 5, 1]",83,88.89999389648438,1.0,0.012048192771084338,65699219.6476396
334,3,"[-4, 5, 1]",85,83.90000915527344,6.0,0.07058823529411765,160245361.4087958
335,0,"[-3, 4, 1]",67,83.05001831054688,5.0,0.07462686567164178,34324200.33530146
335,1,"[1, 5, 1]",73,90.39999389648438,4.123105625617661,0.05648089898106384,34139984.650908925
335,2,"[-3, 5, 1]",89,78.14999389648438,4.0,0.0449438202247191,37180277.68005928
335,4,"[0, 5, 1]",119,85.25,0.0,0.0,89160990.43004683
336,0,"[0, 2, 1]",117,59.05001831054688,2.0,0.017094017094017096,30179022.20839646
336,1,"[2, -3, 1]",69,55.75003051757813,5.385164807134504,0.07804586677006527,48111405.56248419
336,2,"[-2, 0, 1]",84,78.05000305175781,5.0,0.05952380952380952,283517024.6271886
336,3,"[0, 0, 1]",60,70.94999694824219,2.0,0.03333333333333333,32371578.62233135
336,4,"[1, 0, 1]",78,56.44999694824219,1.0,0.01282051282051282,40547869.48086501
337,0,"[0, 0, 1]",105,96.04995727539062,0.0,0.0,47461295.64460325
337,1,"[-1, -2, 1]",83,55.29995727539063,2.23606797749979,0.026940578042166142,15052982.607427387
337,2,"[0, -1, 1]",74,104.99998474121094,1.4142135623730951,0.019110994086122907,58242047.81960299
337,3,"[0, -1, 1]",79,59.10000610351562,0.0,0.0,54831116.78432038
337,5,"[3, 0, 1]",115,69.0,1.0,0.008695652173913044,36952668.329415694
338,0,"[5, -1, 1]",91,50.04998779296875,5.0990195135927845,0.05603318146805258,15085440.097763574
338,1,"[-5, 0, 1]",99,74.79998779296875,10.04987562112089,0.10151389516283728,21427236.5199499
338,2,"[-2, 0, 1]",51,67.60000610351561,3.0,0.058823529411764705,24239477.25928425
338,3,"[0, 0, 1]",66,70.64999389648438,2.0,0.030303030303030304,23687629.936413273
338,4,"[-1, -1, 1]",89,82.95000457763672,1.4142135623730951,0.01589004002666399,48923829.78736718
338,5,"[0, 0, 1]",76,62.20000076293945,1.4142135623730951,0.018608073189119674,60304928.84658884
338,6,"[-1, 0, 1]",76,48.75,1.0,0.013157894736842105,97179920.88012621
339,0,"[1, 0, 1]",106,82.09994506835938,1.0,0.009433962264150943,315659190.61459875
339,1,"[3, -1, 1]",70,67.70001220703125,2.23606797749979,0.031943828249996996,950282227.5660571
339,2,"[-3, 0, 1]",90,69.300048828125,6.082762530298219,0.06758625033664688,21928113.059373125
339,3,"[0, 0, 1]",51,85.70001220703125,3.0,0.058823529411764705,75289577.2685592
