path_num,points,times,Energy
55,"3,3,1;-5,3,1;3,4,1;3,-4,1;3,2,1;-4,-4,1;-1,-2,1;-1,1,1;-1,2,1;0,4,1;1,5,1","52,76,64,75,70,46,61,75,48,66,61",96034337
56,"1,5,1;2,-5,1;2,-4,1;2,2,1;-3,-2,1;2,0,1;-4,-2,1;1,0,1;2,-1,1;-2,0,1;-1,-1,1","69,60,67,63,49,60,45,66,79,76,53",150307528
57,"-1,-1,1;0,0,1;-1,-1,1;0,0,1;1,2,1;-3,-4,1;-1,-3,1;0,1,1;0,-2,1;-1,-1,1;0,0,1","46,67,73,67,77,55,44,46,60,63,44",12507504
58,"0,0,1;2,0,1;4,1,1;-5,-1,1;-3,0,1;0,0,1;0,0,1;2,-2,1;-3,0,1;-2,1,1;1,2,1","40,59,54,78,48,47,52,71,71,44,76",9111893
59,"1,2,1;-3,3,1;0,-3,1;2,2,1;2,2,1;2,-4,1;4,3,1;-4,3,1;2,5,1;-4,-5,1;-1,2,1","71,67,54,43,67,53,54,68,57,68,60",82407362
60,"-1,2,1;0,-3,1;0,2,1;-2,-3,1;0,1,1;1,2,1;3,-2,1;4,0,1;4,1,1;5,-2,1;5,-1,1;5,1,1","43,41,48,43,78,61,61,57,43,70,52,78",66305571
61,"5,1,1;5,-2,1;-5,0,1;-4,2,1;-3,-3,1;0,1,1;0,-1,1;2,0,1;-4,2,1;3,3,1;-4,-3,1","51,41,76,76,46,66,56,59,44,73,61",0
62,"-4,-3,1;-2,2,1;-1,-3,1;1,-2,1;-2,0,1;0,-1,1;-1,0,1;-1,1,1;0,-3,1;0,-2,1;0,-1,1;2,0,1","77,51,53,65,46,43,50,54,72,52,63,50",15599864
63,"2,0,1;-4,-1,1;-1,0,1;0,-1,1;0,1,1;1,2,1;2,-4,1;-3,3,1;2,4,1;3,-4,1;5,-2,1","64,49,73,52,63,47,60,79,48,44,77",10861203
64,"5,-2,1;5,0,1;5,-1,1;-5,1,1;-2,-3,1;0,1,1;-2,2,1;0,-3,1;0,-2,1;-1,-1,1;0,0,1","48,58,79,79,64,47,44,41,41,55,78",0
65,"0,0,1;1,2,1;-3,4,1;0,-5,1;0,2,1;-2,-2,1;-1,1,1;0,2,1;1,3,1;1,5,1","70,53,70,75,61,73,78,72,46,65",6628273
66,"1,5,1;-3,5,1;0,-5,1;-1,4,1;0,5,1;0,-5,1;0,3,1;1,5,1;-1,-5,1;0,-2,1;-1,0,1","40,65,72,78,57,44,73,44,48,46,63",10964569
67,"-1,0,1;-1,2,1;1,-3,1;-1,1,1;1,-3,1;1,0,1;2,0,1;4,0,1;5,2,1;-5,-3,1;4,-2,1;4,1,1","60,50,56,45,48,57,52,78,66,75,46,47",760460055
68,"4,1,1;5,3,1;5,5,1;-5,-5,1;-2,-3,1;0,0,1;-2,0,1;-1,0,1;-1,-1,1;0,0,1;0,0,1","47,73,61,77,69,45,53,54,62,69,49",0
69,"0,0,1;1,-1,1;3,0,1;4,0,1;-5,0,1;-4,1,1;3,2,1;4,-2,1;-5,0,1;-3,0,1;2,-1,1;4,1,1","65,46,53,61,40,49,55,59,49,50,76,60",4609505
70,"4,1,1;-5,-1,1;4,0,1;5,1,1;-5,-3,1;4,0,1;5,-1,1;5,0,1;-5,1,1;3,-3,1;-5,-1,1","75,62,45,63,47,68,78,65,65,61,41",0
71,"-5,-1,1;-4,0,1;-1,2,1;0,-2,1;-2,-1,1;0,0,1;1,0,1;2,0,1;-3,-2,1;0,-1,1;2,0,1","52,44,62,60,74,63,77,59,56,48,78",2736333877
72,"2,0,1;-2,1,1;0,3,1;0,-3,1;1,-1,1;3,0,1;3,0,1;3,1,1;-5,1,1;-3,-1,1;0,0,1","62,69,61,66,52,67,61,68,50,47,69",1490019
73,"0,0,1;-1,2,1;0,-3,1;0,-2,1;-1,0,1;0,0,1;0,-1,1;0,0,1;2,0,1;3,1,1;3,3,1","75,76,65,47,63,45,62,50,43,73,48",3681640
74,"3,3,1;4,3,1;5,-3,1;5,-2,1;-5,0,1;-4,0,1;2,-2,1;-4,0,1;-1,0,1;1,-1,1;1,0,1","52,44,51,49,73,73,66,44,78,78,70",0
75,"1,0,1;2,0,1;-2,2,1;0,-4,1;-1,-1,1;-1,0,1;0,0,1;0,0,1;-1,-2,1;-1,0,1;0,0,1","63,55,69,61,40,71,79,54,51,40,77",1648308
76,"0,0,1;2,-2,1;3,0,1;3,0,1;-5,1,1;2,1,1;2,-2,1;-3,0,1;0,-2,1;-1,1,1;0,-1,1;0,1,1","58,51,55,70,66,55,43,66,47,48,59,44",165219238
77,"0,1,1;1,-2,1;-1,0,1;0,2,1;0,-4,1;2,2,1;-3,4,1;2,5,1;-2,5,1;0,5,1;2,-5,1","73,77,40,74,73,66,46,45,70,70,58",12110136
78,"2,-5,1;2,2,1;-2,3,1;-1,-4,1;0,-3,1;1,0,1;1,-1,1;-2,0,1;0,1,1;-1,3,1;1,5,1","64,70,76,49,48,69,40,66,57,69,52",9001158756
79,"1,5,1;3,5,1;4,5,1;-5,5,1;4,-5,1;4,-4,1;5,3,1;5,4,1;-5,-4,1;2,3,1;-4,3,1;-2,-3,1","56,58,63,44,53,47,53,49,78,53,68,55",405397973
80,"-2,-3,1;1,0,1;1,1,1;-1,-1,1;1,1,1;-2,-3,1;1,-1,1;-1,0,1;0,2,1;1,4,1;3,-5,1;-4,4,1","60,58,73,46,40,63,55,74,47,68,42,44",0
81,"-4,4,1;2,-5,1;2,4,1;-2,-4,1;0,-3,1;-2,1,1;0,-3,1;-1,0,1;0,-2,1;1,1,1","75,76,77,74,48,60,60,66,57,71",0
82,"1,1,1;3,-3,1;-5,1,1;4,-2,1;-4,0,1;-1,-2,1;0,0,1;0,0,1;-1,0,1;0,1,1;0,-3,1;1,2,1;1,4,1","61,44,53,53,45,68,72,43,46,41,40,49,71",0
83,"1,4,1;1,5,1;-1,5,1;-1,5,1;0,5,1;-2,5,1;0,5,1;0,-5,1;-1,-3,1;-1,0,1;0,-2,1;-2,0,1;0,0,1","64,49,40,53,44,44,42,56,78,45,56,79,41",0
84,"0,0,1;1,2,1;3,-3,1;-4,-1,1;2,1,1;4,3,1;-5,4,1;2,5,1;-3,5,1;-1,-5,1;0,4,1;-1,-5,1","47,69,58,61,48,60,62,44,66,70,61,51",0
85,"-1,-5,1;0,-3,1;-2,1,1;0,2,1;1,-3,1;2,-1,1;-2,-1,1;0,0,1;0,1,1;2,1,1;2,2,1;2,4,1","48,50,58,74,50,78,58,48,46,45,67,57",0
86,"2,4,1;-4,4,1;2,-5,1;-2,2,1;0,4,1;2,-5,1;-4,2,1;-1,4,1;0,4,1;1,5,1","49,60,59,78,72,64,48,75,59,75",0
87,"1,5,1;3,5,1;-5,-5,1;-4,2,1;2,-2,1;-2,0,1;0,-1,1;0,1,1;0,-2,1;-2,0,1;0,-2,1","55,44,72,75,57,75,75,59,53,54,44",0
88,"0,-2,1;0,1,1;-1,-2,1;-1,0,1;0,0,1;1,0,1;3,-1,1;-5,1,1;-3,2,1;0,4,1;0,5,1;0,5,1","54,74,73,50,47,60,51,50,60,64,53,60",0
89,"0,5,1;0,5,1;0,5,1;0,-5,1;0,-4,1;-2,3,1;0,3,1;1,-5,1;3,-2,1;-4,0,1;1,1,1;1,-3,1","49,51,51,76,60,47,66,61,44,52,55,71",0
90,"1,-3,1;2,-1,1;2,1,1;4,-2,1;-5,1,1;4,-2,1;-5,0,1;-4,1,1;-3,-3,1;0,-1,1","77,69,62,70,78,47,67,48,74,46",0
91,"0,-1,1;-2,1,1;0,-3,1;-1,-1,1;-1,-1,1;1,0,1;3,-1,1;-3,0,1;-1,2,1;0,-4,1;2,3,1;-4,5,1","46,47,58,54,44,51,68,50,42,79,67,40",0
92,"-4,5,1;-1,-5,1;0,-2,1;-1,0,1;-1,0,1;1,0,1;3,-2,1;4,0,1;5,2,1;5,4,1;-5,-4,1;4,2,1","61,70,59,52,41,47,53,44,51,48,74,71",0
93,"4,2,1;5,4,1;-5,5,1;2,-5,1;2,3,1;2,-5,1;4,3,1;-5,-3,1;4,0,1;-5,0,1;-4,1,1;-3,3,1","78,47,42,60,61,63,43,71,50,62,71,51",0
94,"-3,3,1;1,-3,1;3,1,1;-5,2,1;4,2,1;5,3,1;5,-3,1;-5,0,1;-4,1,1;2,3,1;-2,3,1;-1,-4,1;0,-1,1","40,55,47,44,61,42,44,41,62,71,42,66,60",0
95,"0,-1,1;-1,0,1;0,-2,1;2,0,1;4,1,1;5,-2,1;-5,0,1;-2,0,1;-1,-2,1;1,0,1;3,1,1","77,59,42,76,50,73,51,63,73,66,55",0
96,"3,1,1;5,-3,1;-5,0,1;-3,0,1;0,2,1;1,-4,1;2,1,1;2,-1,1;-4,0,1;-1,0,1","53,67,44,79,48,48,77,72,75,69",0
97,"-1,0,1;0,0,1;2,1,1;3,1,1;5,-1,1;-5,0,1;4,-1,1;4,0,1;-5,0,1;2,2,1;2,3,1","66,51,45,47,59,71,58,60,70,57,67",0
98,"2,3,1;3,3,1;-4,-5,1;3,3,1;3,4,1;-5,5,1;2,-5,1;-3,-3,1;0,1,1;0,2,1;2,4,1","47,78,58,65,40,68,56,79,57,77,44",0
99,"2,4,1;4,-4,1;-5,2,1;-4,2,1;-3,-3,1;-2,0,1;1,-2,1;3,0,1;-4,0,1;3,-2,1;4,-1,1","72,78,53,43,78,43,47,71,51,41,56",0
100,"4,-1,1;-5,1,1;2,1,1;-2,-2,1;-1,1,1;0,-2,1;0,0,1;-2,-1,1;0,0,1;-1,1,1;-1,-3,1","78,63,58,40,46,67,46,60,68,73,65",0
