route_num|point|simTime|tankMass|RHO|target_rho|log 
554.0|7.0|-500.8500061035156|10.0009892578125|2.8605198860168457|0.8576568961143494|Negative Simtime 
554.0|7.0|-499.8500061035156|10.0009892578125|2.804431200027466|0.6387491226196289|Negative Simtime 
554.0|7.0|-498.8500061035156|10.0009892578125|2.748342752456665|0.39674511551856995|Negative Simtime 
554.0|7.0|-497.8500061035156|10.0009892578125|2.692254066467285|0.1570233702659607|Negative Simtime 
554.0|7.0|-496.8500061035156|10.0009892578125|2.6361653804779053|0.013825650326907635|Negative Simtime 
554.0|7.0|-495.8500061035156|10.0009892578125|2.5800766944885254|0.05357842147350311|Negative Simtime 
554.0|7.0|-494.8500061035156|10.0009892578125|2.5239880084991455|0.08539442718029022|Negative Simtime 
554.0|7.0|-493.8500061035156|10.0009892578125|2.4678993225097656|0.10022088140249252|Negative Simtime 
554.0|7.0|-492.79998779296875|10.0009892578125|2.411810874938965|0.10450011491775513|Negative Simtime 
554.0|7.0|-491.79998779296875|10.0009892578125|2.355722188949585|0.10751809179782867|Negative Simtime 
554.0|7.0|-490.79998779296875|10.0009892578125|2.299633502960205|0.10890866070985794|Negative Simtime 
554.0|7.0|-489.79998779296875|10.0009892578125|2.243544816970825|0.10952397435903549|Negative Simtime 
554.0|7.0|-488.79998779296875|10.0009892578125|2.1874563694000244|0.10982310026884079|Negative Simtime 
554.0|7.0|-487.75|10.0009892578125|2.1313676834106445|0.10698027908802032|Negative Simtime 
554.0|7.0|-486.75|10.0009892578125|2.0752789974212646|0.10702668875455856|Negative Simtime 
554.0|7.0|-485.75|10.0009892578125|2.0191903114318848|0.10703855752944946|Negative Simtime 
554.0|7.0|-484.75|10.0009892578125|1.9631017446517944|0.10704801231622696|Negative Simtime 
554.0|7.0|-483.70001220703125|10.0009892578125|1.907013177871704|0.1039833351969719|Negative Simtime 
554.0|7.0|-482.70001220703125|10.0009892578125|1.8509244918823242|0.10397510975599289|Negative Simtime 
554.0|7.0|-481.70001220703125|10.0009892578125|1.7948358058929443|0.10397768020629883|Negative Simtime 
554.0|7.0|-480.70001220703125|10.0009892578125|1.738747239112854|0.10397690534591675|Negative Simtime 
554.0|7.0|-479.70001220703125|10.0009892578125|1.6826585531234741|0.10397808253765106|Negative Simtime 
554.0|7.0|-478.70001220703125|10.0009892578125|1.6265699863433838|0.10397721081972122|Negative Simtime 
554.0|7.0|-477.6499938964844|10.0009892578125|1.570481300354004|0.10085444897413254|Negative Simtime 
554.0|7.0|-476.6499938964844|10.0009892578125|1.5143927335739136|0.10085584223270416|Negative Simtime 
554.0|7.0|-475.6499938964844|10.0009892578125|1.4583040475845337|0.10085627436637878|Negative Simtime 
554.0|7.0|-474.6499938964844|10.0009892578125|1.4022154808044434|0.10085741430521011|Negative Simtime 
554.0|7.0|-473.6499938964844|10.0009892578125|1.3461267948150635|0.10085591673851013|Negative Simtime 
554.0|7.0|-472.6499938964844|10.0009892578125|1.2900381088256836|0.10085608810186386|Negative Simtime 
554.0|7.0|-471.6000061035156|10.0009892578125|1.2339494228363037|0.09770895540714264|Negative Simtime 
554.0|7.0|-470.6499938964844|10.0009892578125|1.1778608560562134|0.10085751116275787|Negative Simtime 
554.0|7.0|-469.6000061035156|10.0009892578125|1.1217721700668335|0.0977093055844307|Negative Simtime 
554.0|7.0|-468.6000061035156|10.0009892578125|1.0656834840774536|0.09770721942186356|Negative Simtime 
554.0|7.0|-467.6000061035156|10.0009892578125|1.0095947980880737|0.09771080315113068|Negative Simtime 
554.0|7.0|-466.54998779296875|10.0009892578125|0.9535062313079834|0.09456177055835724|Negative Simtime 
554.0|7.0|-465.54998779296875|10.0009892578125|0.8974176645278931|0.09456069767475128|Negative Simtime 
554.0|7.0|-464.54998779296875|10.0009892578125|0.841329038143158|0.09455950558185577|Negative Simtime 
554.0|7.0|-463.54998779296875|10.0009892578125|0.7852404713630676|0.09456045925617218|Negative Simtime 
554.0|7.0|-462.54998779296875|10.0009892578125|0.7291518449783325|0.09455902874469757|Negative Simtime 
554.0|7.0|-461.5|10.0009892578125|0.6730632781982422|0.09143610298633575|Negative Simtime 
554.0|7.0|-460.5|10.0009892578125|0.6169746518135071|0.091435506939888|Negative Simtime 
554.0|7.0|-459.5|10.0009892578125|0.5608860850334167|0.09143514931201935|Negative Simtime 
554.0|7.0|-458.5|10.0009892578125|0.5047974586486816|0.091435506939888|Negative Simtime 
554.0|7.0|-457.5|10.0009892578125|0.4487088918685913|0.09143443405628204|Negative Simtime 
554.0|7.0|-456.5|10.0009892578125|0.3926202952861786|0.09143634140491486|Negative Simtime 
554.0|7.0|-455.5|10.0009892578125|0.33653169870376587|0.09143717586994171|Negative Simtime 
554.0|7.0|-454.45001220703125|10.0009892578125|0.28044310212135315|0.08835609257221222|Negative Simtime 
554.0|7.0|-453.45001220703125|10.0009892578125|0.22435450553894043|0.08835430443286896|Negative Simtime 
554.0|7.0|-452.45001220703125|10.0009892578125|0.1682659089565277|0.08835680782794952|Negative Simtime 
554.0|7.0|-451.45001220703125|10.0009892578125|0.11217731237411499|0.08835192024707794|Negative Simtime 
555.0|6.0|-597.0|10.0009892578125|1.2938847541809082|1.184466004371643|Negative Simtime 
555.0|6.0|-596.0|10.0009892578125|1.272320032119751|0.9450575709342957|Negative Simtime 
555.0|6.0|-594.9500122070312|10.0009892578125|1.2507553100585938|0.6441468000411987|Negative Simtime 
555.0|6.0|-593.9500122070312|10.0009892578125|1.2291905879974365|0.3328530192375183|Negative Simtime 
