In Route: 486.0 In point: 5.0 SimTime: -482.9 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -481.85 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -480.75 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -479.7 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -478.65 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -477.55 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -476.55 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -475.5 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -474.4 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -473.3 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -472.25 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -471.2 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -470.15 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -469.1 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -468.0 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -466.95 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -465.85 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -464.8 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -463.75 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -462.65 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -461.6 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -460.5 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -459.45 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -458.35 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -457.35 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -456.25 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -455.2 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -454.1 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -453.1 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -452.0 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -450.95 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -449.9 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -448.85 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -447.75 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -446.7 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -445.6 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -444.55 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -517.8 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -516.75 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -515.65 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -514.6 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -513.55 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -512.4 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -511.3 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -510.2 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -509.15 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -508.05 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -506.95 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -505.85 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -504.75 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -503.65 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -502.6 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -501.55 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -500.4 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -499.35 TankMass: 10.001 |Negative Simtime 
In Route: 487.0 In point: 7.0 SimTime: -498.25 TankMass: 10.001 |Negative Simtime 
