route_num|point|simTime|tankMass|RHO|target_rho|log 
route_num|point|simTime|tankMass|RHO|target_rho|log 
route_num|point|simTime|tankMass|RHO|target_rho|log 
route_num|point|simTime|tankMass|RHO|target_rho|log 
0|0|0|10.0009892578125|0|0|STATIC tankmass 
0|0|0|10.0009892578125|0|0|STATIC tankmass 
1.0|5.0|0.0|10.0009892578125|8.485280990600586|0.00020868376304861158|STATIC tankmass 
1.0|1.0|207.14990234375|10.0009892578125|0.09479455649852753|0.03667225316166878|STATIC tankmass 
1.0|1.0|207.14990234375|10.0009892578125|0.09479455649852753|0.03667225316166878|STATIC tankmass 
2.0|2.0|0.0|10.0009892578125|10.049875259399414|0.0|STATIC tankmass 
2.0|2.0|0.0|10.0009892578125|10.049875259399414|0.0|STATIC tankmass 
2.0|2.0|0.0|10.0009892578125|10.049875259399414|0.0|STATIC tankmass 
2.0|2.0|0.0|10.0009892578125|10.049875259399414|0.0|STATIC tankmass 
2.0|2.0|0.0|10.0009892578125|10.049875259399414|0.0|STATIC tankmass 
2.0|2.0|0.0|10.0009892578125|10.049875259399414|0.0|STATIC tankmass 
2.0|2.0|0.0|10.0009892578125|10.049875259399414|0.0|STATIC tankmass 
2.0|2.0|0.0|10.0009892578125|10.049875259399414|0.0|STATIC tankmass 
2.0|2.0|0.0|10.0009892578125|10.049875259399414|0.0|STATIC tankmass 
2.0|2.0|0.0|10.0009892578125|10.049875259399414|0.0|STATIC tankmass 
2.0|2.0|0.0|10.0009892578125|10.049875259399414|0.0|STATIC tankmass 
2.0|2.0|0.0|10.0009892578125|10.049875259399414|0.0|STATIC tankmass 
2.0|2.0|0.0|10.0009892578125|10.049875259399414|0.0|STATIC tankmass 
2.0|2.0|0.0|10.0009892578125|10.049875259399414|0.0|STATIC tankmass 
2.0|2.0|0.0|10.0009892578125|10.049875259399414|0.0|STATIC tankmass 
2.0|2.0|0.0|10.0009892578125|10.049875259399414|0.0|STATIC tankmass 
2.0|2.0|0.0|10.0009892578125|10.049875259399414|7.58252305388396e-09|STATIC tankmass 
2.0|2.0|14.300000190734863|10.0009892578125|10.010618209838867|0.03782541677355766|STATIC tankmass 
2.0|2.0|15.300000190734863|10.0009892578125|9.97136116027832|0.06989096105098724|STATIC tankmass 
2.0|2.0|16.399999618530273|10.0009892578125|9.932103157043457|0.09394096583127975|STATIC tankmass 
2.0|2.0|17.450000762939453|10.0009892578125|9.853589057922363|0.14434659481048584|STATIC tankmass 
2.0|2.0|18.450000762939453|10.0009892578125|9.814332008361816|0.14721505343914032|STATIC tankmass 
2.0|2.0|19.549999237060547|10.0009892578125|9.775074005126953|0.13551412522792816|STATIC tankmass 
2.0|2.0|20.549999237060547|10.0009892578125|9.735816955566406|0.12035798281431198|STATIC tankmass 
2.0|2.0|21.600000381469727|10.0009892578125|9.69655990600586|0.09693395346403122|STATIC tankmass 
2.0|2.0|22.649999618530273|10.0009892578125|9.657301902770996|0.07100566476583481|STATIC tankmass 
2.0|2.0|23.649999618530273|10.0009892578125|9.61804485321045|0.04876380041241646|STATIC tankmass 
2.0|2.0|24.700000762939453|10.0009892578125|9.578787803649902|0.02669547311961651|STATIC tankmass 
2.0|2.0|25.700000762939453|10.0009892578125|9.539530754089355|0.01245560497045517|STATIC tankmass 
2.0|2.0|26.799999237060547|10.0009892578125|9.500272750854492|0.0017978145042434335|STATIC tankmass 
2.0|2.0|27.799999237060547|10.0009892578125|9.461015701293945|0.00031482134363614023|STATIC tankmass 
2.0|2.0|28.850000381469727|10.0009892578125|9.421758651733398|0.0014846629928797483|STATIC tankmass 
2.0|2.0|29.899999618530273|10.0009892578125|9.382500648498535|0.006771729327738285|STATIC tankmass 
2.0|2.0|30.899999618530273|10.0009892578125|9.343243598937988|0.018315332010388374|STATIC tankmass 
2.0|2.0|31.950000762939453|10.0009892578125|9.303986549377441|0.029940446838736534|STATIC tankmass 
2.0|2.0|33.0|10.0009892578125|9.264729499816895|0.041446514427661896|STATIC tankmass 
2.0|2.0|34.0|10.0009892578125|9.225471496582031|0.05285836011171341|STATIC tankmass 
2.0|2.0|35.0|10.0009892578125|9.186214447021484|0.0617990642786026|STATIC tankmass 
2.0|2.0|36.04999923706055|10.0009892578125|9.146957397460938|0.06581657379865646|STATIC tankmass 
2.0|2.0|37.099998474121094|10.0009892578125|9.107699394226074|0.06606017053127289|STATIC tankmass 
2.0|2.0|38.099998474121094|10.0009892578125|9.068442344665527|0.06269843131303787|STATIC tankmass 
2.0|2.0|39.20000076293945|10.0009892578125|9.02918529510498|0.056302446871995926|STATIC tankmass 
2.0|2.0|40.25|10.0009892578125|8.989928245544434|0.04774932935833931|STATIC tankmass 
2.0|2.0|41.29999923706055|10.0009892578125|8.95067024230957|0.038062140345573425|STATIC tankmass 
2.0|2.0|42.29999923706055|10.0009892578125|8.911413192749023|0.03061380423605442|STATIC tankmass 
2.0|2.0|43.349998474121094|10.0009892578125|8.872156143188477|0.021631265059113503|STATIC tankmass 
2.0|2.0|44.349998474121094|10.0009892578125|8.832898139953613|0.016372136771678925|STATIC tankmass 
2.0|2.0|45.400001525878906|10.0009892578125|8.793641090393066|0.010843927972018719|STATIC tankmass 
2.0|2.0|46.400001525878906|10.0009892578125|8.715126991271973|0.04676080122590065|STATIC tankmass 
2.0|2.0|47.45000076293945|10.0009892578125|8.67586898803711|0.04738721624016762|STATIC tankmass 
2.0|2.0|48.45000076293945|10.0009892578125|8.636611938476562|0.04963158443570137|STATIC tankmass 
2.0|2.0|49.5|10.0009892578125|8.597354888916016|0.051317840814590454|STATIC tankmass 
2.0|2.0|50.54999923706055|10.0009892578125|8.558096885681152|0.053740303963422775|STATIC tankmass 
2.0|2.0|51.599998474121094|10.0009892578125|8.518839836120605|0.05803568661212921|STATIC tankmass 
2.0|2.0|52.650001525878906|10.0009892578125|8.479582786560059|0.05844244360923767|STATIC tankmass 
2.0|2.0|53.70000076293945|10.0009892578125|8.440324783325195|0.05974515900015831|STATIC tankmass 
2.0|2.0|54.75|10.0009892578125|8.401067733764648|0.059919677674770355|STATIC tankmass 
2.0|2.0|55.75|10.0009892578125|8.361810684204102|0.06079442426562309|STATIC tankmass 
2.0|2.0|56.79999923706055|10.0009892578125|8.322553634643555|0.05856259912252426|STATIC tankmass 
2.0|2.0|57.79999923706055|10.0009892578125|8.283295631408691|0.05733904987573624|STATIC tankmass 
2.0|2.0|58.900001525878906|10.0009892578125|8.244038581848145|0.05124739557504654|STATIC tankmass 
2.0|2.0|59.95000076293945|10.0009892578125|8.204781532287598|0.04676997289061546|STATIC tankmass 
2.0|2.0|61.0|10.0009892578125|8.165523529052734|0.04220391809940338|STATIC tankmass 
2.0|2.0|62.04999923706055|10.0009892578125|8.126266479492188|0.03786429390311241|STATIC tankmass 
2.0|2.0|63.099998474121094|10.0009892578125|8.08700942993164|0.034006405621767044|STATIC tankmass 
2.0|2.0|64.1500015258789|10.0009892578125|8.047752380371094|0.03079434670507908|STATIC tankmass 
2.0|2.0|65.19999694824219|10.0009892578125|8.00849437713623|0.028298931196331978|STATIC tankmass 
2.0|2.0|66.30000305175781|10.0009892578125|7.969237327575684|0.026500556617975235|STATIC tankmass 
2.0|2.0|67.3499984741211|10.0009892578125|7.9299798011779785|0.02338462322950363|STATIC tankmass 
2.0|2.0|68.3499984741211|10.0009892578125|7.890722751617432|0.0245346762239933|STATIC tankmass 
2.0|2.0|69.44999694824219|10.0009892578125|7.81220817565918|0.06139439344406128|STATIC tankmass 
2.0|2.0|70.5|10.0009892578125|7.772950649261475|0.060936056077480316|STATIC tankmass 
2.0|2.0|71.55000305175781|10.0009892578125|7.7336931228637695|0.06033468618988991|STATIC tankmass 
2.0|2.0|72.55000305175781|10.0009892578125|7.694436073303223|0.06135184317827225|STATIC tankmass 
2.0|2.0|73.55000305175781|10.0009892578125|7.655178546905518|0.06202900409698486|STATIC tankmass 
2.0|2.0|74.69999694824219|10.0009892578125|7.615921497344971|0.05843479931354523|STATIC tankmass 
2.0|2.0|75.75|10.0009892578125|7.576663970947266|0.056364987045526505|STATIC tankmass 
2.0|2.0|76.75|10.0009892578125|7.537406921386719|0.05395256727933884|STATIC tankmass 
2.0|2.0|77.8499984741211|10.0009892578125|7.498149394989014|0.0492861233651638|STATIC tankmass 
2.0|2.0|78.8499984741211|10.0009892578125|7.458891868591309|0.048494063317775726|STATIC tankmass 
2.0|2.0|79.9000015258789|10.0009892578125|7.419634819030762|0.04567417502403259|STATIC tankmass 
2.0|2.0|80.9000015258789|10.0009892578125|7.380377292633057|0.04293602332472801|STATIC tankmass 
2.0|2.0|82.0|10.0009892578125|7.34112024307251|0.0403614416718483|STATIC tankmass 
2.0|2.0|83.05000305175781|10.0009892578125|7.301862716674805|0.038003575056791306|STATIC tankmass 
2.0|2.0|84.05000305175781|10.0009892578125|7.262605667114258|0.03785374388098717|STATIC tankmass 
2.0|2.0|85.0999984741211|10.0009892578125|7.223348140716553|0.03594495356082916|STATIC tankmass 
2.0|2.0|86.0999984741211|10.0009892578125|7.184090614318848|0.0361807644367218|STATIC tankmass 
2.0|2.0|87.19999694824219|10.0009892578125|7.144833564758301|0.032643601298332214|STATIC tankmass 
2.0|2.0|88.1500015258789|10.0009892578125|7.105576038360596|0.0350327305495739|STATIC tankmass 
2.0|2.0|89.25|10.0009892578125|7.066318988800049|0.03159977123141289|STATIC tankmass 
2.0|2.0|90.30000305175781|10.0009892578125|7.027061462402344|0.030072983354330063|STATIC tankmass 
2.0|2.0|91.3499984741211|10.0009892578125|6.987803936004639|0.028465542942285538|STATIC tankmass 
2.0|2.0|92.4000015258789|10.0009892578125|6.948546886444092|0.02674378827214241|STATIC tankmass 
2.0|2.0|93.44999694824219|10.0009892578125|6.87003231048584|0.06220974773168564|STATIC tankmass 
2.0|2.0|94.55000305175781|10.0009892578125|6.830774784088135|0.06023764982819557|STATIC tankmass 
2.0|2.0|95.5999984741211|10.0009892578125|6.791517734527588|0.05815064162015915|STATIC tankmass 
2.0|2.0|96.6500015258789|10.0009892578125|6.752260208129883|0.055979710072278976|STATIC tankmass 
2.0|2.0|97.69999694824219|10.0009892578125|6.713002681732178|0.053760677576065063|STATIC tankmass 
2.0|2.0|98.75|10.0009892578125|6.673745632171631|0.05349656566977501|STATIC tankmass 
2.0|2.0|99.80000305175781|10.0009892578125|6.634488105773926|0.04930064082145691|STATIC tankmass 
2.0|2.0|100.80000305175781|10.0009892578125|6.595231056213379|0.04711933806538582|STATIC tankmass 
2.0|2.0|101.8499984741211|10.0009892578125|6.555973529815674|0.04500897601246834|STATIC tankmass 
2.0|2.0|102.9000015258789|10.0009892578125|6.516716003417969|0.0449523963034153|STATIC tankmass 
2.0|2.0|104.0|10.0009892578125|6.477458953857422|0.041034359484910965|STATIC tankmass 
2.0|2.0|105.05000305175781|10.0009892578125|6.438201427459717|0.03915666788816452|STATIC tankmass 
2.0|2.0|106.0999984741211|10.0009892578125|6.39894437789917|0.03732747584581375|STATIC tankmass 
2.0|2.0|107.1500015258789|10.0009892578125|6.359686851501465|0.03552442789077759|STATIC tankmass 
2.0|2.0|108.19999694824219|10.0009892578125|6.320429801940918|0.033727362751960754|STATIC tankmass 
2.0|2.0|109.25|10.0009892578125|6.281172275543213|0.031910210847854614|STATIC tankmass 
2.0|2.0|110.3499984741211|10.0009892578125|6.241914749145508|0.028102226555347443|STATIC tankmass 
2.0|2.0|111.3499984741211|10.0009892578125|6.202657699584961|0.028168996796011925|STATIC tankmass 
2.0|2.0|112.3499984741211|10.0009892578125|6.163400173187256|0.028193490579724312|STATIC tankmass 
2.0|2.0|113.5|10.0009892578125|6.084885597229004|0.061570920050144196|STATIC tankmass 
2.0|2.0|114.55000305175781|10.0009892578125|6.045628070831299|0.06151803582906723|STATIC tankmass 
2.0|2.0|115.55000305175781|10.0009892578125|6.006371021270752|0.059496358036994934|STATIC tankmass 
2.0|2.0|116.5999984741211|10.0009892578125|5.967113494873047|0.05746408924460411|STATIC tankmass 
2.0|2.0|117.5999984741211|10.0009892578125|5.9278564453125|0.06128832697868347|STATIC tankmass 
2.0|2.0|118.69999694824219|10.0009892578125|5.888598918914795|0.05340041220188141|STATIC tankmass 
2.0|2.0|119.75|10.0009892578125|5.849341869354248|0.05138695612549782|STATIC tankmass 
2.0|2.0|120.80000305175781|10.0009892578125|5.810084342956543|0.04940090700984001|STATIC tankmass 
2.0|2.0|121.80000305175781|10.0009892578125|5.770826816558838|0.04940739646553993|STATIC tankmass 
2.0|2.0|122.8499984741211|10.0009892578125|5.731569766998291|0.04746970906853676|STATIC tankmass 
2.0|2.0|123.9000015258789|10.0009892578125|5.692312240600586|0.04555149003863335|STATIC tankmass 
2.0|2.0|125.0|10.0009892578125|5.653055191040039|0.04167456552386284|STATIC tankmass 
2.0|2.0|126.05000305175781|10.0009892578125|5.613797664642334|0.03977357596158981|STATIC tankmass 
2.0|2.0|127.0999984741211|10.0009892578125|5.574540615081787|0.037869956344366074|STATIC tankmass 
2.0|2.0|128.14999389648438|10.0009892578125|5.535283088684082|0.03595804050564766|STATIC tankmass 
2.0|2.0|129.1999969482422|10.0009892578125|5.496025562286377|0.03417541831731796|STATIC tankmass 
2.0|2.0|130.25|10.0009892578125|5.45676851272583|0.032569658011198044|STATIC tankmass 
2.0|2.0|131.3000030517578|10.0009892578125|5.417510986328125|0.031085198745131493|STATIC tankmass 
2.0|2.0|132.39999389648438|10.0009892578125|5.378253936767578|0.025785822421312332|STATIC tankmass 
2.0|2.0|133.5|10.0009892578125|5.299738883972168|0.06379596889019012|STATIC tankmass 
2.0|2.0|134.60000610351562|10.0009892578125|5.260481834411621|0.06054888293147087|STATIC tankmass 
2.0|2.0|135.64999389648438|10.0009892578125|5.221224308013916|0.059021834284067154|STATIC tankmass 
2.0|2.0|136.75|10.0009892578125|5.181967258453369|0.05532246083021164|STATIC tankmass 
2.0|2.0|137.75|10.0009892578125|5.142709732055664|0.05530346557497978|STATIC tankmass 
2.0|2.0|138.85000610351562|10.0009892578125|5.103452682495117|0.0511583611369133|STATIC tankmass 
2.0|2.0|139.89999389648438|10.0009892578125|5.064195156097412|0.048843882977962494|STATIC tankmass 
2.0|2.0|140.89999389648438|10.0009892578125|5.024937629699707|0.04844854772090912|STATIC tankmass 
2.0|2.0|142.0|10.0009892578125|4.98568058013916|0.04405754804611206|STATIC tankmass 
2.0|2.0|143.0500030517578|10.0009892578125|4.946423053741455|0.041686542332172394|STATIC tankmass 
2.0|2.0|144.0500030517578|10.0009892578125|4.907166004180908|0.04137379676103592|STATIC tankmass 
2.0|2.0|145.10000610351562|10.0009892578125|4.867908477783203|0.037190038710832596|STATIC tankmass 
2.0|2.0|146.14999389648438|10.0009892578125|4.828650951385498|0.03707677498459816|STATIC tankmass 
2.0|2.0|147.1999969482422|10.0009892578125|4.789393901824951|0.035106949508190155|STATIC tankmass 
2.0|2.0|148.25|10.0009892578125|4.750136375427246|0.033239077776670456|STATIC tankmass 
2.0|2.0|149.3000030517578|10.0009892578125|4.710879325866699|0.03145352751016617|STATIC tankmass 
2.0|2.0|150.3000030517578|10.0009892578125|4.671621799468994|0.031670957803726196|STATIC tankmass 
2.0|2.0|151.39999389648438|10.0009892578125|4.632364749908447|0.028002437204122543|STATIC tankmass 
2.0|2.0|152.39999389648438|10.0009892578125|4.593107223510742|0.02822611667215824|STATIC tankmass 
2.0|2.0|153.4499969482422|10.0009892578125|4.553849697113037|0.02645977959036827|STATIC tankmass 
2.0|2.0|154.5|10.0009892578125|4.475335121154785|0.06388411670923233|STATIC tankmass 
2.0|2.0|155.5500030517578|10.0009892578125|4.436078071594238|0.06198117509484291|STATIC tankmass 
2.0|2.0|156.64999389648438|10.0009892578125|4.396820545196533|0.05805138871073723|STATIC tankmass 
2.0|2.0|157.6999969482422|10.0009892578125|4.357563495635986|0.05599497631192207|STATIC tankmass 
2.0|2.0|158.75|10.0009892578125|4.318305969238281|0.053887274116277695|STATIC tankmass 
2.0|2.0|159.85000610351562|10.0009892578125|4.279048442840576|0.049769192934036255|STATIC tankmass 
2.0|2.0|160.89999389648438|10.0009892578125|4.239791393280029|0.04762597754597664|STATIC tankmass 
2.0|2.0|162.0|10.0009892578125|4.200533866882324|0.043525341898202896|STATIC tankmass 
2.0|2.0|163.0500030517578|10.0009892578125|4.161276817321777|0.041446685791015625|STATIC tankmass 
2.0|2.0|164.10000610351562|10.0009892578125|4.122019290924072|0.03941868245601654|STATIC tankmass 
2.0|2.0|165.14999389648438|10.0009892578125|4.082761764526367|0.037444375455379486|STATIC tankmass 
2.0|2.0|166.14999389648438|10.0009892578125|4.04350471496582|0.037489235401153564|STATIC tankmass 
2.0|2.0|167.1999969482422|10.0009892578125|4.004247188568115|0.03562312573194504|STATIC tankmass 
2.0|2.0|168.25|10.0009892578125|3.9649899005889893|0.033810317516326904|STATIC tankmass 
2.0|2.0|169.35000610351562|10.0009892578125|3.9257326126098633|0.030086461454629898|STATIC tankmass 
2.0|2.0|170.39999389648438|10.0009892578125|3.8864753246307373|0.028344545513391495|STATIC tankmass 
2.0|2.0|171.39999389648438|10.0009892578125|3.8472180366516113|0.026596926152706146|STATIC tankmass 
2.0|2.0|172.4499969482422|10.0009892578125|3.8079607486724854|0.02676425687968731|STATIC tankmass 
2.0|2.0|173.5500030517578|10.0009892578125|3.7294459342956543|0.062242541462183|STATIC tankmass 
2.0|2.0|174.60000610351562|10.0009892578125|3.6901886463165283|0.060336481779813766|STATIC tankmass 
2.0|2.0|175.64999389648438|10.0009892578125|3.6509313583374023|0.05835295468568802|STATIC tankmass 
2.0|2.0|176.75|10.0009892578125|3.6116740703582764|0.05434054881334305|STATIC tankmass 
2.0|2.0|177.8000030517578|10.0009892578125|3.5724167823791504|0.0522395521402359|STATIC tankmass 
2.0|2.0|178.8000030517578|10.0009892578125|3.5331594944000244|0.05208677798509598|STATIC tankmass 
2.0|2.0|179.89999389648438|10.0009892578125|3.4939019680023193|0.049962367862463|STATIC tankmass 
2.0|2.0|180.89999389648438|10.0009892578125|3.4546446800231934|0.047852497547864914|STATIC tankmass 
2.0|2.0|182.0|10.0009892578125|3.4153873920440674|0.04380066320300102|STATIC tankmass 
2.0|2.0|183.0500030517578|10.0009892578125|3.3761301040649414|0.04373534396290779|STATIC tankmass 
2.0|2.0|184.0|10.0009892578125|3.3368728160858154|0.04371589049696922|STATIC tankmass 
2.0|2.0|185.10000610351562|10.0009892578125|3.2976155281066895|0.041782211512327194|STATIC tankmass 
2.0|2.0|186.1999969482422|10.0009892578125|3.2583580017089844|0.035951994359493256|STATIC tankmass 
2.0|2.0|187.1999969482422|10.0009892578125|3.2191007137298584|0.03604569286108017|STATIC tankmass 
2.0|2.0|188.3000030517578|10.0009892578125|3.1798434257507324|0.032214052975177765|STATIC tankmass 
2.0|2.0|189.35000610351562|10.0009892578125|3.1405861377716064|0.030337274074554443|STATIC tankmass 
