disTotal,totalTurns
86.4102445038435,12.0
74.29588237321452,12.0
41.00618440893831,12.0
67.39168664489274,11.0
71.05615587547173,12.0
72.47195321489666,12.0
73.1245332071132,12.0
79.52647884246655,12.0
50.46674038489273,12.0
66.31253972785402,12.0
41.532080652373025,12.0
68.67099617451149,12.0
75.20758055179587,12.0
36.91118965504441,12.0
73.70967012636878,11.0
33.50805724992168,11.0
34.706178297725955,11.0
38.19681676077521,12.0
38.80427180994148,11.0
25.983754876694732,12.0
38.40885655775865,12.0
38.58718332120219,12.0
36.062667364408746,12.0
36.53193932407411,11.0
31.110399774321102,11.0
80.74031789607237,12.0
62.318065854372364,12.0
30.291267864660337,12.0
85.20860186463385,13.0
55.575514728682485,11.0
57.792102863267196,11.0
62.73196238511596,12.0
49.527220620651164,12.0
31.3576880533219,11.0
44.90120774537562,11.0
78.48655647435069,11.0
59.72619241749382,12.0
46.15215121786819,11.0
48.70786098063595,11.0
54.36372426551752,12.0
25.443433543200513,12.0
32.664193908830015,11.0
44.6161898266955,11.0
35.83098655599841,12.0
55.109197490897486,11.0
38.049615169672656,11.0
48.70226423232951,12.0
61.9595217426551,12.0
48.875179693902055,12.0
27.821326212286404,12.0
49.4644852319099,12.0
59.4860853455313,12.0
56.85005112719301,12.0
53.47806215102381,11.0
35.4509328681345,12.0
56.76167317230756,11.0
53.54552609190156,11.0
34.02515374911431,11.0
42.717095461354745,11.0
71.87500624480772,12.0
60.4042342022838,12.0
74.49127000821998,12.0
71.15357831976051,12.0
41.62603197482643,11.0
69.53548667321246,12.0
49.33850336383973,12.0
47.15761203378688,12.0
63.642332508095045,12.0
38.86860714585192,12.0
76.05209468755629,11.0
57.29287403683371,12.0
58.40567556775689,11.0
37.960102027242165,12.0
64.93456757227207,12.0
48.84088916497693,13.0
50.07205580399708,12.0
21.47598615915314,12.0
23.291267864660337,12.0
40.929123242523445,12.0
63.43460282443595,12.0
49.08744084335708,11.0
62.184090463971955,12.0
37.62882889768007,12.0
60.02548845954911,12.0
59.15368526508817,12.0
56.19634427230724,11.0
32.55550982923593,12.0
50.713148799839914,11.0
66.4048929246943,11.0
28.659048552118023,11.0
36.281995244942756,12.0
37.72931894493315,11.0
24.883638309590665,11.0
60.60142492798751,11.0
47.14343863587235,11.0
39.15907366084075,12.0
40.18194197179591,11.0
30.634573543072865,11.0
34.96687247222849,11.0
75.48875464881235,11.0
