disTotal,totalTurns
51.507319953079076,9.0
20.122417494872465,9.0
61.98965642645949,9.0
33.21231719102773,8.0
43.21162956787735,10.0
60.12264152228714,9.0
37.890508414948755,9.0
49.89455922478204,10.0
40.9367890209222,9.0
38.92671478945527,9.0
34.55813734976395,9.0
39.020163250311285,10.0
41.689469676585134,10.0
51.72608280582587,9.0
31.51962336387924,9.0
37.693696700644985,9.0
27.78360710003691,9.0
41.060167334851876,9.0
24.202457519704748,9.0
38.01089287534577,9.0
53.40685714863105,9.0
50.66179642364611,10.0
32.76523503464161,8.0
35.531371297290555,9.0
27.87990132436341,9.0
28.839593640338645,9.0
50.75271670432985,9.0
25.836505784363162,10.0
37.67220994869484,9.0
35.6985229743994,10.0
29.26932341345764,9.0
33.69644998163757,8.0
33.17591454964353,11.0
36.767634537988926,9.0
57.722744233227544,9.0
24.92214220781959,8.0
50.25451401518029,8.0
51.12990619395764,10.0
30.91938837892393,8.0
28.087207512182587,8.0
19.320327917582855,9.0
42.236430165007384,10.0
41.42210285716561,9.0
24.058770451276587,10.0
41.77637412104821,11.0
36.038612544491194,10.0
25.60112615949154,9.0
38.731283532531045,8.0
52.99271351839648,10.0
28.72812869824136,9.0
36.825976394892436,10.0
23.371630891611247,9.0
71.57481755244952,10.0
51.7613564524395,9.0
50.537635020928306,9.0
47.49941754352336,9.0
25.8774119434107,9.0
31.481763566714637,9.0
63.098816470423316,9.0
35.24101543076771,10.0
52.384362085273054,9.0
29.335258716681405,10.0
44.74825949919116,9.0
34.11983489156563,9.0
35.65787765291866,8.0
60.742357851774585,9.0
47.80122972026982,10.0
31.003519714531816,9.0
45.40565963536098,10.0
69.60087809730601,9.0
26.398516863256997,9.0
32.414373490278,9.0
18.985369030965458,9.0
38.1659801756571,9.0
22.195036913004508,9.0
39.51581457081119,10.0
47.23355143066398,9.0
34.233505399938764,9.0
69.5549905907533,10.0
46.83454885285929,10.0
48.501888921726625,8.0
50.504304425668856,11.0
30.30056307974577,11.0
73.48958737246105,10.0
28.515427378591525,10.0
52.166192451859565,8.0
46.453477019650904,9.0
27.48617614186727,10.0
48.32704831591636,10.0
45.17770013472168,8.0
42.60738440720504,10.0
50.762117527582156,10.0
81.6924788123597,10.0
68.57213068025347,11.0
32.37565640921858,9.0
42.78253831356334,8.0
44.4498657507848,9.0
57.74269692138225,9.0
50.45246410325224,9.0
39.43044929500232,9.0
