route_num|missing_points|simTime|tankMass|force_array|torque_array|rpm_list|droneVel|error_target_vel|error_target_dist|xDisplacement|yDisplacement|x_avg_Vel|y_avg_Vel 
0|0|0|10.0009892578125|[70.25970458984375, 70.26287841796875, 70.26484680175781, 70.26473236083984]|[-0.1405194103717804, 0.14052575826644897, -0.14052969217300415, 0.14052946865558624]|[4554.299252650695, 4554.402116731234, 4554.465911075501, 4554.462202126462]|0|0|0|0|0|0|0
0|0|0|10.0009892578125|[94.78865051269531, 94.79237365722656, 94.79512023925781, 94.7955322265625]|[-0.18957731127738953, 0.18958474695682526, -0.1895902454853058, 0.18959106504917145]|[5289.889183005766, 5289.9930711215, 5290.069708587729, 5290.081204111904]|0|0|0|0|0|0|0
1.0|4.0|0.0|10.0009892578125|[94.78907775878906, 94.79188537597656, 94.7947006225586, 94.7960205078125]|[-0.18957816064357758, 0.18958376348018646, -0.18958939611911774, 0.18959203362464905]|[5289.901104696449, 5289.979446566824, 5290.058000157797, 5290.094828404505]|0.0|0.02828427217900753|1.3328582326721516e-06|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|1.0|9.915041015625|[917.4568481445312, -534.644775390625, -636.0245971679688, 816.0831298828125]|[-1.834913730621338, -1.0692894458770752, 1.2720491886138916, 1.6321662664413452]|[16457.400093909764, 12563.222969135935, 13702.675079756478, 15521.56843635791]|2.070372850937474e-08|0.02828425147527902|1.351721607534273e-06|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|2.0|9.8864736328125|[869.328125, -618.6761474609375, -680.2205200195312, 807.7991943359375]|[-1.7386562824249268, -1.2373522520065308, 1.3604410886764526, 1.615598440170288]|[16019.917278162, 13514.503349209659, 14170.764103085063, 15442.588959485949]|-0.0024300620425492525|0.030714334221556783|0.02143438532948494|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|3.0|9.8579482421875|[904.9012451171875, -657.7387084960938, -715.7210083007812, 846.9619140625]|[-1.8098024129867554, -1.3154774904251099, 1.4314419031143188, 1.693923830986023]|[16344.400547735282, 13934.619188103745, 14535.845107977095, 15812.492945503956]|-0.008710930123925209|0.03699520230293274|0.0342179536819458|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|4.0|9.8294638671875|[774.5489501953125, -528.8397216796875, -585.2469482421875, 718.2171630859375]|[-1.5490978956222534, -1.0576794147491455, 1.1704939603805542, 1.4364343881607056]|[15121.429145137892, 12494.832484013152, 13144.315743633884, 14561.170715368447]|-0.01598687469959259|0.04427114687860012|0.039155513048172|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|5.0|9.8010205078125|[568.4407348632812, -323.23687744140625, -379.0609436035156, 512.71533203125]|[-1.1368814706802368, -0.64647376537323, 0.758121907711029, 1.025430679321289]|[12954.211998653314, 9768.521919497853, 10578.471581380272, 12302.873436175105]|-0.021860091015696526|0.050144363194704056|0.06506262719631195|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|6.0|9.7726181640625|[371.46038818359375, -126.51459503173828, -182.1255340576172, 315.95623779296875]|[-0.7429207563400269, -0.2530291974544525, 0.364251047372818, 0.6319124698638916]|[10471.88002988615, 6111.371982346409, 7332.5295716446535, 9657.88146737187]|-0.02506363019347191|0.05334790237247944|0.034892115741968155|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|7.050000190734863|9.7442568359375|[239.22048950195312, 5.414753437042236, -50.053157806396484, 183.85400390625]|[-0.4784409701824188, 0.010829507373273373, 0.10010632127523422, 0.3677079975605011]|[8403.642936959188, 1264.3221508393883, 3844.0067795600107, 7367.242241906179]|-0.02427516132593155|0.05255943350493908|0.05804760754108429|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|8.050000190734863|9.7159375|[190.04412841796875, 54.212032318115234, -1.1089414358139038, 134.81143188476562]|[-0.3800882399082184, 0.10842406749725342, 0.00221788277849555, 0.2696228623390198]|[7490.238252151861, 4000.5181791821506, 572.1668729698663, 6308.582178625306]|-0.024104103446006775|0.052388375625014305|0.055619001388549805|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|9.050000190734863|9.6876591796875|[211.38397216796875, 32.47761535644531, -22.67791175842285, 156.30262756347656]|[-0.4227679371833801, 0.0649552270770073, 0.04535582289099693, 0.31260526180267334]|[7899.587815653849, 3096.4243282415196, 2587.4378956318183, 6792.842474358025]|-0.0217389315366745|0.05002320371568203|0.054743316024541855|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|10.050000190734863|9.659421875|[273.76568603515625, -30.280601501464844, -85.2674560546875, 218.842529296875]|[-0.5475314259529114, -0.060561202466487885, 0.1705349236726761, 0.4376850724220276]|[8989.963122469668, 2989.8586226365082, 5017.184328108543, 8037.745792516877]|-0.019478648900985718|0.04776292107999325|0.055212441831827164|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|11.050000190734863|9.6312255859375|[345.1490173339844, -101.96602630615234, -156.81842041015625, 290.35577392578125]|[-0.6902980804443359, -0.2039320468902588, 0.313636839389801, 0.5807115435600281]|[10094.195800231273, 5486.509700767891, 6804.0413065576595, 9258.350909125935]|-0.018849313259124756|0.047133585438132286|0.05656024068593979|6.838120558683158e-08|1.2992381925869267e-06|0|0
1.0|4.0|12.050000190734863|9.6030712890625|[401.2108154296875, -158.26516723632812, -213.02015686035156, 346.51593017578125]|[-0.8024216294288635, -0.3165303170681, 0.42604032158851624, 0.693031907081604]|[10883.152628350743, 6835.354992970855, 7930.10164675438, 10114.164351531954]|-0.017456337809562683|0.04574060998857021|0.03122762031853199|6.838120558683158e-08|1.2992381925869267e-06|0|0
