route_num|missing_points|simTime|tankMass|force_array|torque_array|rpm_list|droneVel|error_target_vel|error_target_dist|xDisplacement|yDisplacement|x_avg_Vel|y_avg_Vel|pos_x|pos_y|pos_z 
0|0|0|10.0009892578125|[94.7856674194336, 94.78526306152344, 94.78944396972656, 94.78988647460938]|[-0.1895713359117508, 0.18957053124904633, -0.18957889080047607, 0.1895797848701477]|[5289.805943309619, 5289.794660078642, 5289.911323267077, 5289.92367068025]|0|0|0|0|0|0|0|2.7036583105655154e-06|-3.291663233540021e-05|0.9488595128059387
0|0|0|10.0009892578125|[94.78601837158203, 94.7855224609375, 94.78909301757812, 94.78963470458984]|[-0.1895720362663269, 0.18957103788852692, -0.18957817554473877, 0.18957926332950592]|[5289.815736283033, 5289.801898380527, 5289.901530470619, 5289.916645431462]|0|0|0|0|0|0|0|3.116973175565363e-06|-2.867803596018348e-05|0.9488595128059387
187.0|3.0|0.19999980926513672|10.0009892578125|[94.78632354736328, 94.78570556640625, 94.78878784179688, 94.7894515991211]|[-0.18957264721393585, 0.18957141041755676, -0.18957756459712982, 0.18957890570163727]|[5289.824251897352, 5289.807007764129, 5289.893014980702, 5289.911536153755]|0.0|0.16227193176746368|2.5291277779615484e-05|3.6824569633608917e-06|5.64308629691368e-05|0|0|3.7465615605469793e-06|-2.500457048881799e-05|0.9488595128059387
187.0|3.0|0.9499998092651367|10.0009892578125|[94.78656768798828, 94.78582000732422, 94.78854370117188, 94.78933715820312]|[-0.18957313895225525, 0.18957163393497467, -0.18957708775997162, 0.18957866728305817]|[5289.831064378937, 5289.8102011263745, 5289.8862025788985, 5289.908342852683]|0.0|0.16227193176746368|2.2533335140906274e-05|3.6824569633608917e-06|5.64308629691368e-05|0|0|4.4739026634488255e-06|-2.2076999812270515e-05|0.9488595128059387
187.0|3.0|1.6999988555908203|9.915041015625|[79.63489532470703, 94.46411895751953, 110.08418273925781, 95.25447082519531]|[-0.1592697948217392, 0.1889282464981079, -0.2201683670282364, 0.19050894677639008]|[4848.641906746328, 5280.825819994576, 5700.735158745305, 5302.87131669967]|4.527822511590784e-06|0.1622674039449521|0.15928390622138977|3.6824569633608917e-06|5.64308629691368e-05|0|0|0.0020812880247831345|0.002144198166206479|0.9588282704353333
187.0|3.0|2.4499988555908203|9.8864736328125|[67.84200286865234, 95.93899536132812, 122.32547760009766, 94.22589874267578]|[-0.13568401336669922, 0.19187799096107483, -0.2446509599685669, 0.18845179677009583]|[4475.254464159884, 5321.891145273536, 6009.341211438072, 5274.1630067240385]|0.004204275086522102|0.15806765668094158|0.3085680603981018|3.6824569633608917e-06|5.64308629691368e-05|0|0|0.011166875250637531|0.011427187360823154|0.9587315320968628
187.0|3.0|3.1499996185302734|9.8579482421875|[63.44076919555664, 103.31283569335938, 128.10789489746094, 88.2305679321289]|[-0.12688153982162476, 0.20662567019462585, -0.25621581077575684, 0.1764611303806305]|[4327.6549243360505, 5522.6248789593565, 6149.734285328081, 5103.6154251092385]|0.019272292032837868|0.14299963973462582|0.4448239207267761|3.6824569633608917e-06|5.64308629691368e-05|0|0|0.02981559745967388|0.02959742769598961|0.9584322571754456
187.0|3.0|3.8999996185302734|9.8579482421875|[69.23250579833984, 101.95661163330078, 125.16790771484375, 92.43455505371094]|[-0.138465017080307, 0.20391322672367096, -0.25033581256866455, 0.18486911058425903]|[4520.884683036819, 5486.256406174725, 6078.758646827617, 5223.788458365427]|0.019272292032837868|0.14299963973462582|0.3999588191509247|3.6824569633608917e-06|5.64308629691368e-05|0|0|0.06371796131134033|0.059319932013750076|0.9578141570091248
187.0|3.0|4.399999618530273|9.8294638671875|[65.95712280273438, 108.85409545898438, 131.06619262695312, 88.1567611694336]|[-0.13191425800323486, 0.21770820021629333, -0.2621323764324188, 0.17631351947784424]|[4412.647699084567, 5668.795505390886, 6220.334589226239, 5101.4803366140095]|0.04594402760267258|0.11632790416479111|0.522208034992218|3.6824569633608917e-06|5.64308629691368e-05|0|0|0.09519794583320618|0.08471890538930893|0.9572456479072571
187.0|3.0|4.94999885559082|9.8294638671875|[72.38294219970703, 107.27474212646484, 128.43658447265625, 93.5285415649414]|[-0.14476588368415833, 0.2145494818687439, -0.25687316060066223, 0.18705707788467407]|[4622.602183459719, 5627.521249975201, 6157.618493607931, 5254.609965221617]|0.04594402760267258|0.11632790416479111|0.4681291878223419|3.6824569633608917e-06|5.64308629691368e-05|0|0|0.13956087827682495|0.1176152154803276|0.9564223289489746
187.0|3.0|5.549999237060547|9.8010205078125|[72.43119049072266, 113.38787078857422, 133.44154357910156, 92.46379852294922]|[-0.14486238360404968, 0.22677575051784515, -0.26688310503959656, 0.18492759764194489]|[4624.14257056121, 5785.643956954413, 6276.4479628027975, 5224.6147165576585]|0.07013575732707977|0.09213617444038391|0.5598332285881042|3.6824569633608917e-06|5.64308629691368e-05|0|0|0.19917605817317963|0.1592051088809967|0.9553266763687134
187.0|3.0|6.19999885559082|9.7726181640625|[74.18218231201172, 118.90802001953125, 137.8180694580078, 93.06563568115234]|[-0.1483643651008606, 0.23781603574752808, -0.27563613653182983, 0.18613126873970032]|[4679.702089260865, 5924.803861861444, 6378.542962169614, 5241.590372538587]|0.10652124881744385|0.055750682950019836|0.631873369216919|3.6824569633608917e-06|5.64308629691368e-05|0|0|0.27791038155555725|0.21083888411521912|0.9539976119995117
187.0|3.0|6.850000381469727|9.7726181640625|[85.97864532470703, 115.64476013183594, 133.4571990966797, 103.75909423828125]|[-0.17195728421211243, 0.23128952085971832, -0.26691439747810364, 0.20751819014549255]|[5038.06426547651, 5842.9394238227305, 6276.816132103446, 5534.539482280393]|0.10652124881744385|0.055750682950019836|0.5295088291168213|3.6824569633608917e-06|5.64308629691368e-05|0|0|0.3712564706802368|0.26909855008125305|0.9523847103118896
187.0|3.0|7.44999885559082|9.7442568359375|[88.86480712890625, 120.28520965576172, 137.13304138183594, 105.67528533935547]|[-0.17772960662841797, 0.24057041108608246, -0.2742660939693451, 0.21135056018829346]|[5121.926067089888, 5959.015550451793, 6362.670862739798, 5585.410775994234]|0.14075052738189697|0.02152140438556671|0.5857582688331604|3.6824569633608917e-06|5.64308629691368e-05|0|0|0.46901699900627136|0.3286220133304596|0.9509614706039429
187.0|3.0|7.899999618530273|9.7442568359375|[97.84263610839844, 116.92967987060547, 133.10690307617188, 113.97933959960938]|[-0.1956852674484253, 0.2338593602180481, -0.2662138044834137, 0.22795867919921875]|[5374.430814403639, 5875.309973338677, 6268.5730832845875, 5800.714250281291]|0.14075052738189697|0.02152140438556671|0.503761351108551|3.6824569633608917e-06|5.64308629691368e-05|0|0|0.5495544672012329|0.3767852485179901|0.9498867392539978
