route_num|missing_points|simTime|tankMass|force_array|torque_array|rpm_list|droneVel|error_target_vel|error_target_dist 
79.0|11.0|45.099998474121094|8.750712890625|[-186.33477783203125, 194.75421142578125, 375.54180908203125, -6.86107063293457]|[0.3726695477962494, 0.3895084261894226, -0.7510836124420166, -0.013722141273319721]|[7416.779436277346, 7582.4897670018345, 10529.252753991601, 1423.1948028501931]|0.01784336566925049|0.07321055233478546|0.1879734843969345
79.0|11.0|47.75|8.69708203125|[232.23007202148438, 17.98335075378418, -40.79893112182617, 173.7675323486328]|[-0.464460164308548, 0.03596670180559158, 0.08159785717725754, 0.34753507375717163]|[8279.948440492815, 2304.112666997254, 3470.505976607235, 7162.303512507081]|0.017846107482910156|0.0732078105211258|0.12578384578227997
79.0|11.0|50.400001525878906|8.6169453125|[44.38269805908203, 163.19700622558594, 147.9903106689453, 29.074243545532227]|[-0.08876539766788483, 0.3263940215110779, -0.29598063230514526, 0.05814848467707634]|[3619.7223045530427, 6941.039210494925, 6609.750173803589, 2929.69639068894]|0.017847776412963867|0.07320614159107208|0.1605837047100067
79.0|11.0|53.0|8.5371787109375|[326.53375244140625, -80.94654083251953, -137.96763610839844, 269.9237365722656]|[-0.6530674695968628, -0.1618930846452713, 0.2759352922439575, 0.5398474931716919]|[9818.212863414185, 4888.409182016483, 6382.003171027636, 8926.65895190506]|0.01784646511077881|0.07320745289325714|0.10422911494970322
79.0|10.0|0.5999984741210938|8.48420703125|[208.10064697265625, 39.570274353027344, -17.372718811035156, 151.4717559814453]|[-0.41620129346847534, 0.0791405513882637, 0.034745436161756516, 0.30294349789619446]|[7837.997474378558, 3417.849495271649, 2264.656296774108, 6687.044819814327]|0.01784646511077881|0.016978222876787186|0.13521414995193481
79.0|10.0|3.2999954223632812|8.4050595703125|[-544.91943359375, 738.255126953125, 727.3724365234375, -555.1657104492188]|[1.0898388624191284, 1.4765101671218872, -1.454744815826416, -1.110331416130066]|[12683.366797982815, 14762.898703935005, 14653.684062902536, 12802.055956903163]|0.02409231662750244|0.010732371360063553|0.07433513551950455
79.0|10.0|5.9499969482421875|8.3525|[395.0133056640625, -209.2764892578125, -212.35409545898438, 392.6717529296875]|[-0.7900266051292419, -0.418552964925766, 0.42470818758010864, 0.7853435277938843]|[10798.769378001742, 7860.110011940102, 7917.694206098463, 10766.715430215323]|0.037767767906188965|-0.0029430799186229706|0.04576386883854866
79.0|10.0|8.649993896484375|8.2739697265625|[360.4939880371094, -176.7870635986328, -178.45712280273438, 359.55157470703125]|[-0.7209879755973816, -0.35357412695884705, 0.356914222240448, 0.7191031575202942]|[10316.144510462798, 7224.2646140419, 7258.307234553854, 10302.65131131012]|0.036821722984313965|-0.0019970349967479706|0.04547666758298874
79.0|10.0|11.349998474121094|8.1958115234375|[-39.24262619018555, 221.0649871826172, 220.62403869628906, -38.9842529296875]|[0.07848525792360306, 0.4421299695968628, -0.4412480890750885, -0.07796850800514221]|[3403.6699133512416, 8078.456405400004, 8070.395515082043, 3392.446536077353]|0.03296482563018799|0.001859862357378006|0.05873402953147888
79.0|10.0|13.949996948242188|8.1439111328125|[367.000732421875, -184.17709350585938, -185.8092498779297, 366.09979248046875]|[-0.7340014576911926, -0.3683542013168335, 0.37161847949028015, 0.7321996092796326]|[10408.82889534725, 7373.712687171554, 7406.31312107574, 10396.044871742535]|0.032729148864746094|0.0020955391228199005|0.04250701144337654
79.0|10.0|16.649993896484375|8.06637060546875|[197.5967254638672, -14.936258316040039, -16.647891998291016, 196.60951232910156]|[-0.3951934278011322, -0.02987251617014408, 0.03329578414559364, 0.3932190239429474]|[7637.624024061269, 2099.8550254622132, 2216.909828891816, 7618.52096468652]|0.034961700439453125|-0.00013701245188713074|0.05307216942310333
79.0|10.0|19.25|7.98920068359375|[-117.33120727539062, 297.0933532714844, 297.8362731933594, -115.90851593017578]|[0.23466241359710693, 0.5941866636276245, -0.5956725478172302, -0.23181703686714172]|[5885.3890063040435, 9365.1528902824, 9376.854960423963, 5849.598746015028]|0.036928534507751465|-0.0021038465201854706|0.06591024249792099
79.0|10.0|22.0|7.91240185546875|[457.6280212402344, -275.9456481933594, -277.42340087890625, 456.8798522949219]|[-0.9152560830116272, -0.5518913269042969, 0.5548468232154846, 0.913759708404541]|[11623.173177301604, 9025.685130922859, 9049.820176221308, 11613.66801808885]|0.03452503681182861|0.000299651175737381|0.039943162351846695
79.0|10.0|24.649993896484375|7.861408203125|[196.25234985351562, -14.679577827453613, -16.361675262451172, 195.29090881347656]|[-0.3925046920776367, -0.029359156265854836, 0.03272335231304169, 0.39058181643486023]|[7611.597884846785, 2081.733767525096, 2197.7702403737735, 7592.930369610374]|0.032819509506225586|0.0020051784813404083|0.05287006124854088
79.0|10.0|27.349998474121094|7.7852275390625|[-47.16353988647461, 227.12588500976562, 226.67076110839844, -46.92398452758789]|[0.09432707726955414, 0.454251766204834, -0.4533415138721466, -0.09384796768426895]|[3731.398227772638, 8188.450354186278, 8180.242068500634, 3721.909813726615]|0.03653764724731445|-0.0017129592597484589|0.06349676847457886
79.0|10.0|29.949996948242188|7.734646484375|[422.6524658203125, -241.85894775390625, -243.41709899902344, 421.82049560546875]|[-0.8453049659729004, -0.4837178885936737, 0.48683419823646545, 0.8436409831047058]|[11170.178353590998, 8449.859417344496, 8477.034392103698, 11159.178969616652]|0.03657996654510498|-0.0017552785575389862|0.04226696491241455
79.0|10.0|32.599998474121094|7.659083984375|[163.4175262451172, 17.102006912231445, 15.482463836669922, 162.51336669921875]|[-0.3268350660800934, 0.034204013645648956, -0.03096492774784565, 0.3250267505645752]|[6945.727168374387, 2246.9424171584137, 2137.905187810219, 6926.485792099135]|0.0330432653427124|0.001781422644853592|0.05459681153297424
79.0|10.0|35.25|7.583892578125|[-135.4094696044922, 313.169921875, 313.8988037109375, -134.0058135986328]|[0.27081894874572754, 0.626339852809906, -0.6277976036071777, -0.26801159977912903]|[6322.559462308097, 9615.202298340344, 9626.385162163337, 6289.704236696824]|0.03648567199707031|-0.0016609840095043182|0.06695999205112457
79.0|10.0|37.849998474121094|7.533970703125|[349.3273620605469, -169.39892578125, -171.0642852783203, 348.38372802734375]|[-0.6986547112464905, -0.33879783749580383, 0.34212857484817505, 0.6967674493789673]|[10155.11173312264, 7071.6983961189, 7106.374285406681, 10141.386513951551]|0.03478670120239258|3.798678517341614e-05|0.045885439962148666
79.0|10.0|40.5|7.45939697265625|[81.77899169921875, 97.49666595458984, 96.13300323486328, 81.12152862548828]|[-0.1635579764842987, 0.19499333202838898, -0.19226600229740143, 0.16224305331707]|[4913.480986127053, 5364.920444801917, 5327.269392839562, 4893.690137343173]|0.03479957580566406|2.5112181901931763e-05|0.05820297822356224
79.0|10.0|43.099998474121094|7.38519482421875|[-271.90655517578125, 445.3793640136719, 449.408935546875, -267.2440185546875]|[0.5438131093978882, 0.890758752822876, -0.8988178372383118, -0.5344880223274231]|[8959.385897727881, 11466.567960444092, 11518.323069573362, 8882.237895156764]|0.03651785850524902|-0.0016931705176830292|0.07205808907747269
79.0|10.0|45.75|7.33593212890625|[275.822265625, -96.83866119384766, -98.52251434326172, 274.8551330566406]|[-0.551644504070282, -0.19367732107639313, 0.19704502820968628, 0.5497102737426758]|[9023.66709452851, 5346.785877965744, 5393.0711182719815, 9007.833083029967]|0.0347900390625|3.464892506599426e-05|0.04936874285340309
79.0|10.0|48.349998474121094|7.26234814453125|[-45.314735412597656, 222.6490936279297, 222.23585510253906, -45.04029846191406]|[0.0906294658780098, 0.4452981650829315, -0.44447171688079834, -0.09008059650659561]|[3657.531947617416, 8107.349020607746, 8099.82187357254, 3646.439680598218]|0.03479409217834473|3.05958092212677e-05|0.06346150487661362
79.0|10.0|50.94999694824219|7.213498046875|[414.4194030761719, -236.19772338867188, -237.75918579101562, 413.5762023925781]|[-0.8288387656211853, -0.4723954498767853, 0.4755183756351471, 0.8271524310112]|[11060.848514324227, 8350.380352227037, 8377.936347247705, 11049.590277073952]|0.034796714782714844|2.7973204851150513e-05|0.04235390946269035
79.0|10.0|53.54999542236328|7.14053173828125|[121.19247436523438, 56.5926628112793, 55.14912414550781, 120.45384979248047]|[-0.24238495528697968, 0.1131853312253952, -0.11029825359582901, 0.2409076988697052]|[5981.446604905064, 4087.4124973787775, 4034.9458780379923, 5963.191363997179]|0.03652071952819824|-0.001696031540632248|0.056399453431367874
79.0|9.0|0.04998779296875|7.0679365234375|[-269.67529296875, 441.5902404785156, 445.61187744140625, -265.0235900878906]|[0.5393505692481995, 0.8831804990768433, -0.8912237286567688, -0.5300471782684326]|[8922.549861867976, 11417.68710554382, 11469.560671107085, 8845.261368101164]|0.03479409217834473|-0.017816582694649696|0.07201807200908661
79.0|9.0|2.649993896484375|7.01974560546875|[589.964111328125, -414.3856201171875, -414.7546691894531, 590.3072509765625]|[-1.179928183555603, -0.8287712335586548, 0.8295093178749084, 1.1806144714355469]|[13197.181839261506, 11060.397671766577, 11065.321733912397, 13201.019206627598]|0.032254695892333984|-0.015277186408638954|0.022772757336497307
79.0|9.0|5.149993896484375|6.9477685546875|[56.72757339477539, 117.27803039550781, 117.6675796508789, 57.81827926635742]|[-0.1134551465511322, 0.23455606400966644, -0.23533515632152557, 0.11563656479120255]|[4092.2815645757987, 5884.055166397927, 5893.819267476312, 4131.435578849481]|0.01493692398071289|0.0020405855029821396|0.02890786901116371
79.0|9.0|7.649993896484375|6.89998974609375|[14.497456550598145, 160.42160034179688, 159.70809936523438, 14.489595413208008]|[-0.028994912281632423, 0.3208432197570801, -0.31941619515419006, 0.028979191556572914]|[2068.780013853685, 6881.764811123298, 6866.443876334252, 2068.2190475532284]|0.012169361114501953|0.004808148369193077|0.03166964277625084
