route_num|missing_points|simTime|tankMass|force_array|torque_array|rpm_list|droneVel|error_target_vel|error_target_dist|xDisplacement|yDisplacement|x_avg_Vel|y_avg_Vel|pos_x|pos_y|pos_z 
0|0|0|10.0009892578125|[94.78469848632812, 94.78422546386719, 94.79041290283203, 94.79093170166016]|[-0.1895693987607956, 0.1895684450864792, -0.18958082795143127, 0.18958185613155365]|[5289.778906093244, 5289.765706772057, 5289.93835980666, 5289.952836007273]|0|0|0|0|0|0|0|3.563189011401846e-06|-4.031115895486437e-05|0.9488595128059387
0|0|0|10.0009892578125|[94.78461456298828, 94.7841796875, 94.79049682617188, 94.79097747802734]|[-0.18956923484802246, 0.18956835567951202, -0.1895809918642044, 0.1895819455385208]|[5289.776564280598, 5289.764429416646, 5289.94070154768, 5289.95411331719]|0|0|0|0|0|0|0|3.404805738682626e-06|-4.281399378669448e-05|0.9488595128059387
327.0|8.0|1.0|9.915041015625|[94.78467559814453, 94.78429412841797, 94.79043579101562, 94.79086303710938]|[-0.18956933915615082, 0.18956857919692993, -0.18958087265491486, 0.1895817220211029]|[5289.77826741717, 5289.767622804595, 5289.9389984634045, 5289.95092004182]|3.101904212599038e-06|0.06050436697501027|4.343775435700081e-05|3.8120397221064195e-06|4.281399378669448e-05|0|0|3.101904212599038e-06|-4.331928721512668e-05|0.9488595128059387
327.0|8.0|2.0|9.8864736328125|[89.85607147216797, 92.67747497558594, 99.75067901611328, 96.92924499511719]|[-0.17971214652061462, 0.18535494804382324, -0.19950136542320251, 0.19385848939418793]|[5150.413736134273, 5230.648066562786, 5426.5815551331725, 5349.2860105271775]|0.0009470522054471076|0.05956041667377576|0.05801910534501076|3.8120397221064195e-06|4.281399378669448e-05|0|0|0.0009501540916971862|0.002300002845004201|0.9588527083396912
327.0|8.0|3.0|9.8579482421875|[86.19440460205078, 91.16433715820312, 103.6220703125, 98.6517105102539]|[-0.17238880693912506, 0.18232867121696472, -0.2072441428899765, 0.1973034292459488]|[5044.381694682761, 5187.772149386039, 5530.883827459712, 5396.606025232265]|0.004063565284013748|0.05644390359520912|0.10769827663898468|3.8120397221064195e-06|4.281399378669448e-05|0|0|0.005013719201087952|0.01233703549951315|0.9588072896003723
327.0|8.0|4.0|9.8294638671875|[84.18953704833984, 90.49212646484375, 106.25888061523438, 99.95501708984375]|[-0.1683790683746338, 0.1809842586517334, -0.21251776814460754, 0.1999100297689438]|[4985.3707890393425, 5168.610444875731, 5600.812349678789, 5432.136855325368]|0.00882185809314251|0.05168561078608036|0.14471015334129333|3.8120397221064195e-06|4.281399378669448e-05|0|0|0.013835577294230461|0.03411389887332916|0.9586703181266785
327.0|8.0|5.0|9.8010205078125|[84.00204467773438, 90.77433013916016, 107.63666534423828, 100.86184692382812]|[-0.1680040955543518, 0.18154866993427277, -0.21527332067489624, 0.20172369480133057]|[4979.816417250593, 5176.663440796968, 5637.006314079602, 5456.72242197618]|0.013700390234589577|0.04680707864463329|0.166431725025177|3.8120397221064195e-06|4.281399378669448e-05|0|0|0.028406290337443352|0.07005959749221802|0.958412230014801
327.0|8.0|6.0|9.7726181640625|[85.52986145019531, 91.9351806640625, 107.80310821533203, 101.3938217163086]|[-0.171059712767601, 0.1838703602552414, -0.215606227517128, 0.20278765261173248]|[5024.898437127331, 5209.658683123931, 5641.362994413174, 5471.093669988792]|0.021520845592021942|0.03898662328720093|0.17210356891155243|3.8120397221064195e-06|4.281399378669448e-05|0|0|0.04905681312084198|0.12086012214422226|0.9580447673797607
327.0|8.0|6.850000381469727|9.7726181640625|[87.12007904052734, 93.1039810180664, 107.88748931884766, 101.89834594726562]|[-0.17424015700817108, 0.18620795011520386, -0.21577496826648712, 0.20379669964313507]|[5071.396123990372, 5242.670093578088, 5643.570404426904, 5484.688552110517]|0.021520845592021942|0.03898662328720093|0.17404939234256744|3.8120397221064195e-06|4.281399378669448e-05|0|0|0.07259739935398102|0.17856955528259277|0.957662045955658
327.0|8.0|7.84999942779541|9.7442568359375|[90.8288803100586, 95.19482421875, 106.05431365966797, 101.68215942382812]|[-0.18165776133537292, 0.19038964807987213, -0.21210862696170807, 0.2033643126487732]|[5178.218646233108, 5301.210776221759, 5595.418480037171, 5478.867332404181]|0.026417262852191925|0.034090206027030945|0.1536041647195816|3.8120397221064195e-06|4.281399378669448e-05|0|0|0.10179553925991058|0.250034362077713|0.9572745561599731
