route_num|missing_points|simTime|tankMass|force_array|torque_array|rpm_list|droneVel|error_target_vel|error_target_dist|xDisplacement|yDisplacement|x_avg_Vel|y_avg_Vel|pos_x|pos_y|pos_z 
0|0|0|10.0009892578125|[94.78634643554688, 94.78270721435547, 94.78876495361328, 94.79244995117188]|[-0.18957269191741943, 0.18956542015075684, -0.18957753479480743, 0.1895848959684372]|[5289.824890567874, 5289.723340986384, 5289.892376318406, 5289.9951999549985]|0|0|0|0|0|0|0|4.2203595285172923e-07|-3.8195164961507544e-05|0.9488595128059387
0|0|0|10.0009892578125|[94.7861557006836, 94.78253173828125, 94.78895568847656, 94.7926254272461]|[-0.1895723193883896, 0.18956506252288818, -0.18957790732383728, 0.18958525359630585]|[5289.8195683111735, 5289.718444416416, 5289.897698501853, 5290.000096268794]|0|0|0|0|0|0|0|4.232948072058207e-07|-4.218674803269096e-05|0.9488595128059387
251.0|5.0|0.19999980926513672|10.0009892578125|[94.78602600097656, 94.78256225585938, 94.7890853881836, 94.79259490966797]|[-0.1895720511674881, 0.18956512212753296, -0.18957817554473877, 0.18958519399166107]|[5289.815949173558, 5289.719295994127, 5289.901317583538, 5289.999244736285]|0.0|0.03070172481238842|4.4426476961234584e-05|4.232948072058207e-07|4.218674803269096e-05|0|0|4.070254533417028e-07|-4.4417120079742745e-05|0.9488595128059387
251.0|5.0|1.1999998092651367|9.915041015625|[218.29159545898438, 0.0, 0.0, 219.68682861328125]|[-0.43658319115638733, 0.0, -0.0, 0.4393736720085144]|[8027.621945259888, 0.0, 0.0, 8053.235767219634]|3.7911559047643095e-07|0.030701345696797944|0.030710775405168533|4.232948072058207e-07|4.218674803269096e-05|0|0|-4.957050805387553e-06|-4.338178405305371e-05|0.9594454765319824
251.0|5.0|2.1999998092651367|9.8864736328125|[255.4837188720703, 0.0, 0.0, 258.1662292480469]|[-0.5109674334526062, 0.0, -0.0, 0.5163324475288391]|[8684.603965937215, 0.0, 0.0, 8730.077915211541]|-0.0005811226437799633|0.03128284745616838|0.0603945292532444|4.232948072058207e-07|4.218674803269096e-05|0|0|-0.0009732607286423445|0.00027078462881036103|0.9953738451004028
251.0|5.0|3.1499996185302734|9.8579482421875|[253.30873107910156, 0.0, 0.0, 257.1003723144531]|[-0.5066174864768982, 0.0, -0.0, 0.514200747013092]|[8647.55800256671, 0.0, 0.0, 8712.037914244896]|-0.0021732361055910587|0.03287496091797948|0.08813729137182236|4.232948072058207e-07|4.218674803269096e-05|0|0|-0.003702217247337103|0.0014416100457310677|1.045175313949585
251.0|5.0|4.199999809265137|9.8294638671875|[250.7521514892578, 0.0, 0.0, 255.42117309570312]|[-0.5015043020248413, 0.0, -0.0, 0.5108423233032227]|[8603.80855007049, 0.0, 0.0, 8683.540848199837]|-0.003959281370043755|0.034661006182432175|0.11384840309619904|4.232948072058207e-07|4.218674803269096e-05|0|0|-0.008143945597112179|0.003915462177246809|1.09198796749115
251.0|5.0|5.199999809265137|9.8010205078125|[248.385986328125, 0.0, 0.0, 253.6658935546875]|[-0.4967719614505768, 0.0, -0.0, 0.5073317885398865]|[8563.11839878707, 0.0, 0.0, 8653.652335084853]|-0.005916247144341469|0.03661797195672989|0.13748660683631897|4.232948072058207e-07|4.218674803269096e-05|0|0|-0.014251471497118473|0.008022497408092022|1.1356594562530518
251.0|5.0|6.199999809265137|9.7726181640625|[246.22463989257812, 0.0, 0.0, 251.8345489501953]|[-0.4924492835998535, 0.0, -0.0, 0.5036690831184387]|[8525.780738009193, 0.0, 0.0, 8622.358166206064]|-0.007338653318583965|0.038040378130972385|0.1590677797794342|4.232948072058207e-07|4.218674803269096e-05|0|0|-0.021981216967105865|0.01395760290324688|1.1762683391571045
251.0|5.0|7.199999809265137|9.7442568359375|[260.9912109375, 0.0, 0.0, 266.682373046875]|[-0.5219824314117432, 0.0, -0.0, 0.5333647131919861]|[8777.712360222862, 0.0, 0.0, 8872.89943948193]|-0.009345894679427147|0.04004761949181557|0.1789027750492096|4.232948072058207e-07|4.218674803269096e-05|0|0|-0.031089458614587784|0.0216100811958313|1.206987738609314
