route_num|missing_points|simTime|tankMass|force_array|torque_array|rpm_list|droneVel 
1.0|10.0|0|10.0009892578125|[70.2607650756836, 70.26197052001953, 70.26378631591797, 70.26563262939453]|[-0.14052152633666992, 0.14052394032478333, -0.14052757620811462, 0.1405312716960907]|[4554.333623359135, 4554.372691906972, 4554.431541365389, 4554.491379110654]|0.0
1.0|10.0|1.0499999523162842|9.9722978515625|[92.06724548339844, 92.20795440673828, 97.49037170410156, 97.35379028320312]|[-0.18413449823856354, 0.18441590666770935, -0.19498074054718018, 0.19470757246017456]|[5213.399175733606, 5217.38154595965, 5364.74726606897, 5360.988014752816]|7.655128086980767e-08
1.0|10.0|2.049999952316284|9.9436484375|[90.04505920410156, 90.1990966796875, 99.50817108154297, 99.35826110839844]|[-0.18009011447429657, 0.18039819598197937, -0.19901634752750397, 0.19871652126312256]|[5155.827136309394, 5160.235214021492, 5419.981149451259, 5415.896984987176]|-4.7465834995819023e-07
1.0|10.0|3.049999952316284|9.915041015625|[88.90467071533203, 88.99749755859375, 100.60477447509766, 100.51607513427734]|[-0.17780934274196625, 0.1779949963092804, -0.20120954513549805, 0.2010321468114853]|[5123.074752695817, 5125.74859864395, 5449.764052627287, 5447.361099709363]|6.488988901764969e-09
1.0|10.0|4.050000190734863|9.8864736328125|[88.36259460449219, 88.36909484863281, 101.05943298339844, 101.05705261230469]|[-0.17672519385814667, 0.1767381876707077, -0.2021188735961914, 0.20211410522460938]|[5107.432477946969, 5107.620334288456, 5462.064604388202, 5462.000276809494]|8.730278864277352e-07
1.0|10.0|5.050000190734863|9.8579482421875|[88.08943939208984, 88.02253723144531, 101.21552276611328, 101.28653717041016]|[-0.17617887258529663, 0.17604507505893707, -0.20243103802204132, 0.20257307589054108]|[5099.532066783045, 5097.595202850227, 5466.281150529414, 5468.198428748055]|1.4024612937646452e-06
1.0|10.0|6.050000190734863|9.8294638671875|[87.93157196044922, 87.82469940185547, 101.2458724975586, 101.35685729980469]|[-0.1758631318807602, 0.17564940452575684, -0.20249174535274506, 0.2027137130498886]|[5094.960514012505, 5091.863349904281, 5467.1006282431945, 5470.096300440046]|1.5038777974041295e-06
1.0|10.0|7.050000190734863|9.8010205078125|[87.81139373779297, 87.70021057128906, 101.23104858398438, 101.34634399414062]|[-0.17562279105186462, 0.17540042102336884, -0.2024621069431305, 0.2026926875114441]|[5091.477620206716, 5088.253289728032, 5466.700380845744, 5469.812598442411]|1.0944370387733215e-06
1.0|10.0|8.050000190734863|9.7726181640625|[87.567138671875, 87.46867370605469, 101.31766510009766, 101.42024230957031]|[-0.17513427138328552, 0.17493735253810883, -0.20263533294200897, 0.20284047722816467]|[5084.391494121534, 5081.5321152712195, 5469.038622446159, 5471.806435928908]|6.531104190798942e-07
1.0|10.0|9.050000190734863|9.7442568359375|[87.61306762695312, 87.55455017089844, 101.154296875, 101.21692657470703]|[-0.1752261221408844, 0.17510908842086792, -0.20230859518051147, 0.20243385434150696]|[5085.724700731312, 5084.026019305681, 5464.6276069183805, 5466.3190576885045]|5.288029569783248e-08
1.0|10.0|10.050000190734863|9.7159375|[87.38374328613281, 87.34822082519531, 101.22346496582031, 101.2630844116211]|[-0.17476747930049896, 0.1746964454650879, -0.20244692265987396, 0.20252618193626404]|[5079.064480561663, 5078.032027600029, 5466.495610938939, 5467.56531517293]|-3.140298758808058e-07
1.0|10.0|11.050000190734863|9.6876591796875|[87.30447387695312, 87.28945922851562, 101.16444396972656, 101.18356323242188]|[-0.17460894584655762, 0.17457892000675201, -0.2023288905620575, 0.2023671269416809]|[5076.760243103368, 5076.323672991432, 5464.901686740808, 5465.418073480158]|-5.433503247331828e-07
1.0|10.0|12.050000190734863|9.659421875|[87.23233032226562, 87.22379302978516, 101.09738159179688, 101.11001586914062]|[-0.1744646579027176, 0.17444758117198944, -0.20219476521015167, 0.20222003757953644]|[5074.6622336398395, 5074.413902914121, 5463.090032147136, 5463.431386380147]|-5.033034540247172e-07
1.0|10.0|13.050000190734863|9.6312255859375|[87.169677734375, 87.15660858154297, 101.02169036865234, 101.03884887695312]|[-0.17433935403823853, 0.17431321740150452, -0.20204338431358337, 0.2020777016878128]|[5072.839527371864, 5072.459233432781, 5461.044551902664, 5461.508310722166]|-3.395268777239835e-07
1.0|10.0|14.050000190734863|9.6030712890625|[87.11207580566406, 87.08903503417969, 100.93972778320312, 100.96686553955078]|[-0.1742241382598877, 0.17417806386947632, -0.20187945663928986, 0.20193372666835785]|[5071.163178228079, 5070.492483390176, 5458.828729960032, 5459.562486686367]|-1.1204588190594222e-07
1.0|10.0|15.050000190734863|9.57495703125|[87.0546646118164, 87.01950073242188, 100.85770416259766, 100.8969497680664]|[-0.1741093397140503, 0.17403900623321533, -0.2017154097557068, 0.20179390907287598]|[5069.491828334456, 5068.46786824535, 5456.610357152285, 5457.671888102573]|5.690776561095845e-08
1.0|10.0|16.049999237060547|9.546884765625|[86.99578094482422, 86.95145416259766, 100.77872467041016, 100.82713317871094]|[-0.17399156093597412, 0.17390291392803192, -0.2015574425458908, 0.20165427029132843]|[5067.777039327783, 5066.485787792857, 5454.473461807339, 5455.783317753799]|1.210955815622583e-07
1.0|10.0|17.049999237060547|9.518853515625|[86.93509674072266, 86.88636016845703, 100.70217895507812, 100.75498962402344]|[-0.17387019097805023, 0.17377272248268127, -0.20140434801578522, 0.2015099823474884]|[5066.009208394379, 5064.588984880484, 5452.4016163619435, 5453.8311149004385]|1.6254830370598938e-07
